#: table_doi: 10.17182/hepdata.94313.v1/t36
#: name: Lambda pT spectrum, Au+Au 7.7 GeV, 60-80%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig6_lambda_auau7_cent0.yaml
#: keyword reactions: Au+Au
#: keyword observables: Lambda pT spectrum
#: keyword cmenergies: 7.7
#: Centrality,,,60-80%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.499,0.4,0.6,0.146,0.0065,-0.0065,0.0166,-0.0166
0.6968,0.6,0.8,0.07644,0.00226,-0.00226,0.00533,-0.00533
0.8953,0.8,1.0,0.04052,0.00108,-0.00108,0.00276,-0.00276
1.0943,1.0,1.2,0.02,0.00055,-0.00055,0.00138,-0.00138
1.2936,1.2,1.4,0.008566,0.000252,-0.000252,0.000873,-0.000873
1.4931,1.4,1.6,0.003752,0.000131,-0.000131,0.000405,-0.000405
1.6927,1.6,1.8,0.001461,6.3e-05,-6.3e-05,0.000131,-0.000131
1.8924,1.8,2.0,0.00069,3.95e-05,-3.95e-05,8.12e-05,-8.12e-05
2.1326,2.0,2.3,0.0002098,1.47e-05,-1.47e-05,2.38e-05,-2.38e-05
2.4321,2.3,2.6,4.571e-05,6.63e-06,-6.63e-06,4.83e-06,-4.83e-06
2.7678,2.6,3.0,6.55e-06,2.28e-06,-2.28e-06,6.8e-07,-6.8e-07
3.1672,3.0,3.4,1.729e-06,7.88e-07,-7.88e-07,1.81e-07,-1.81e-07

