#: table_doi: 10.17182/hepdata.94313.v1/t127
#: name: Xi- pT spectrum, Au+Au 27 GeV, 60-80%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig8_xi_auau27_cent0.yaml
#: keyword reactions: Au+Au
#: keyword observables: Xi- pT spectrum
#: keyword cmenergies: 27
#: Centrality,,,60-80%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.7917,0.6,1.0,0.005082,0.000144,-0.000144,0.000309,-0.000309
1.1415,1.0,1.3,0.0020313,4.87e-05,-4.87e-05,8.56e-05,-8.56e-05
1.4396,1.3,1.6,0.0008107,1.98e-05,-1.98e-05,2.9e-05,-2.9e-05
1.7384,1.6,1.9,0.0003188,8.6e-06,-8.6e-06,1.15e-05,-1.15e-05
2.0375,1.9,2.2,0.00011566,3.94e-06,-3.94e-06,4.96e-06,-4.96e-06
2.3779,2.2,2.6,3.308e-05,1.47e-06,-1.47e-06,1.85e-06,-1.85e-06
2.8514,2.6,3.2,7.87e-06,4.92e-07,-4.92e-07,3.43e-07,-3.43e-07
3.5183,3.2,4.0,9.85e-07,1.26e-07,-1.26e-07,4.3e-08,-4.3e-08
4.3824,4.0,5.0,6.61e-08,2.5e-08,-2.5e-08,3e-09,-3e-09

