#: table_doi: 10.17182/hepdata.94313.v1/t114
#: name: Xi- pT spectrum, Au+Au 11.5 GeV, 40-60%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig8_xi_auau11_cent1.yaml
#: keyword reactions: Au+Au
#: keyword observables: Xi- pT spectrum
#: keyword cmenergies: 11.5
#: Centrality,,,40-60%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.791,0.6,1.0,0.01818,0.00075,-0.00075,0.00124,-0.00124
1.141,1.0,1.3,0.008095,0.000286,-0.000286,0.000606,-0.000606
1.439,1.3,1.6,0.00321,0.000109,-0.000109,0.000229,-0.000229
1.7376,1.6,1.9,0.0012161,4.7e-05,-4.7e-05,9.13e-05,-9.13e-05
2.0367,1.9,2.2,0.0003698,1.9e-05,-1.9e-05,3.07e-05,-3.07e-05
2.375,2.2,2.6,9.822e-05,6.77e-06,-6.77e-06,7.03e-06,-7.03e-06
2.8424,2.6,3.2,1.478e-05,1.95e-06,-1.95e-06,1.14e-06,-1.14e-06
3.4976,3.2,4.0,1.308e-06,4.39e-07,-4.39e-07,1.02e-07,-1.02e-07

