#: table_doi: 10.17182/hepdata.94313.v1/t118
#: name: Xi- pT spectrum, Au+Au 11.5 GeV, 5-10%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig8_xi_auau11_cent5.yaml
#: keyword reactions: Au+Au
#: keyword observables: Xi- pT spectrum
#: keyword cmenergies: 11.5
#: Centrality,,,5-10%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.7981,0.6,1.0,0.1712,0.0071,-0.0071,0.0113,-0.0113
1.1444,1.0,1.3,0.0903,0.00269,-0.00269,0.00679,-0.00679
1.4417,1.3,1.6,0.04117,0.00117,-0.00117,0.00297,-0.00297
1.7397,1.6,1.9,0.01753,0.00054,-0.00054,0.00131,-0.00131
2.0383,1.9,2.2,0.006551,0.000235,-0.000235,0.000525,-0.000525
2.378,2.2,2.6,0.002041,8.7e-05,-8.7e-05,0.000139,-0.000139
2.849,2.6,3.2,0.0003406,2.78e-05,-2.78e-05,2.51e-05,-2.51e-05
3.5085,3.2,4.0,2.951e-05,6.26e-06,-6.26e-06,2.22e-06,-2.22e-06

