#: table_doi: 10.17182/hepdata.94313.v1/t49
#: name: Lambda pT spectrum, Au+Au 11.5 GeV, 0-5%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig6_lambda_auau11_cent6.yaml
#: keyword reactions: Au+Au
#: keyword observables: Lambda pT spectrum
#: keyword cmenergies: 11.5
#: Centrality,,,0-5%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.5018,0.4,0.6,3.704,0.092,-0.092,0.219,-0.219
0.6999,0.6,0.8,2.794,0.044,-0.044,0.196,-0.196
0.8984,0.8,1.0,2.0019,0.0272,-0.0272,0.0863,-0.0863
1.0973,1.0,1.2,1.2928,0.0171,-0.0171,0.0681,-0.0681
1.2963,1.2,1.4,0.7702,0.0103,-0.0103,0.0372,-0.0372
1.4956,1.4,1.6,0.4211,0.0058,-0.0058,0.0187,-0.0187
1.6951,1.6,1.8,0.2263,0.0033,-0.0033,0.0102,-0.0102
1.8946,1.8,2.0,0.10978,0.00172,-0.00172,0.00493,-0.00493
2.1367,2.0,2.3,0.04818,0.00069,-0.00069,0.00258,-0.00258
2.4363,2.3,2.6,0.015494,0.000281,-0.000281,0.000805,-0.000805
2.7752,2.6,3.0,0.00401,9.3e-05,-9.3e-05,0.000213,-0.000213
3.1747,3.0,3.4,0.0009296,3.84e-05,-3.84e-05,5.01e-05,-5.01e-05
3.6103,3.4,3.9,0.0001614,1.35e-05,-1.35e-05,8.9e-06,-8.9e-06
4.1098,3.9,4.4,2.524e-05,5.03e-06,-5.03e-06,1.72e-06,-1.72e-06

