#: table_doi: 10.17182/hepdata.94313.v1/t42
#: name: Lambda pT spectrum, Au+Au 7.7 GeV, 0-5%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig6_lambda_auau7_cent6.yaml
#: keyword reactions: Au+Au
#: keyword observables: Lambda pT spectrum
#: keyword cmenergies: 7.7
#: Centrality,,,0-5%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.5016,0.4,0.6,4.028,0.121,-0.121,0.234,-0.234
0.6997,0.6,0.8,3.195,0.062,-0.062,0.225,-0.225
0.8981,0.8,1.0,2.2018,0.0368,-0.0368,0.0953,-0.0953
1.097,1.0,1.2,1.3673,0.0218,-0.0218,0.072,-0.072
1.296,1.2,1.4,0.7783,0.0126,-0.0126,0.0372,-0.0372
1.4953,1.4,1.6,0.4203,0.0071,-0.0071,0.0181,-0.0181
1.6947,1.6,1.8,0.21017,0.00378,-0.00378,0.00935,-0.00935
1.8942,1.8,2.0,0.0998,0.00205,-0.00205,0.00449,-0.00449
2.136,2.0,2.3,0.03988,0.0008,-0.0008,0.0021,-0.0021
2.4355,2.3,2.6,0.012545,0.000341,-0.000341,0.000669,-0.000669
2.7738,2.6,3.0,0.00305,0.000125,-0.000125,0.000156,-0.000156
3.1733,3.0,3.4,0.0006266,5.17e-05,-5.17e-05,3.41e-05,-3.41e-05
3.6082,3.4,3.9,9.58e-05,1.55e-05,-1.55e-05,6e-06,-6e-06

