#: table_doi: 10.17182/hepdata.94313.v1/t140
#: name: Xi- pT spectrum, Au+Au 39 GeV, 0-5%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig8_xi_auau39_cent6.yaml
#: keyword reactions: Au+Au
#: keyword observables: Xi- pT spectrum
#: keyword cmenergies: 39
#: Centrality,,,0-5%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.7997,0.6,1.0,0.2237,0.0046,-0.0046,0.0282,-0.0282
1.1459,1.0,1.3,0.1325,0.0019,-0.0019,0.0159,-0.0159
1.4435,1.3,1.6,0.07183,0.00097,-0.00097,0.0082,-0.0082
1.7417,1.6,1.9,0.03499,0.00047,-0.00047,0.00378,-0.00378
2.0404,1.9,2.2,0.0153,0.00022,-0.00022,0.00165,-0.00165
2.3805,2.2,2.6,0.005517,8.5e-05,-8.5e-05,0.000607,-0.000607
2.8552,2.6,3.2,0.001315,2.8e-05,-2.8e-05,0.000147,-0.000147
3.5205,3.2,4.0,0.0001538,7.1e-06,-7.1e-06,1.73e-05,-1.73e-05
4.3787,4.0,5.0,1.051e-05,1.5e-06,-1.5e-06,1.21e-06,-1.21e-06

