          %pt            int_Sj
       13.808    3.80470E-08
       13.856    3.65528E-08
       13.904    3.51215E-08
       13.952    3.37505E-08
       14.000    3.24369E-08
       14.048    3.11783E-08
       14.096    2.99721E-08
       14.144    2.88161E-08
       14.192    2.77079E-08
       14.240    2.66456E-08
       14.288    2.56269E-08
       14.336    2.46502E-08
       14.384    2.37134E-08
       14.432    2.28149E-08
       14.480    2.19529E-08
       14.528    2.11260E-08
       14.576    2.31636E-08
       14.624    2.23106E-08
       14.672    2.14916E-08
       14.720    2.07049E-08
       14.768    1.99493E-08
       14.816    1.92233E-08
       14.864    1.85259E-08
       14.912    1.78557E-08
       14.960    1.72117E-08
       15.008    1.65927E-08
       15.056    1.59977E-08
       15.104    1.54257E-08
       15.152    1.48757E-08
       15.200    1.43469E-08
       15.248    1.38383E-08
       15.296    1.33492E-08
       15.344    1.28787E-08
       15.392    1.24261E-08
       15.440    1.19907E-08
       15.488    1.15717E-08
       15.536    1.11685E-08
       15.584    1.07804E-08
       15.632    1.04069E-08
       15.680    1.00473E-08
       15.728    9.70115E-09
       15.776    9.36784E-09
       15.824    9.04689E-09
       15.872    8.73780E-09
       15.920    8.44009E-09
       15.968    8.15333E-09
       16.016    7.87707E-09
       16.064    7.61091E-09
       16.112    7.35445E-09
       16.160    7.10732E-09
       16.208    6.86914E-09
       16.256    6.63957E-09
       16.304    6.41828E-09
       16.352    6.20494E-09
       16.400    5.99926E-09
       16.448    5.80094E-09
       16.496    5.60968E-09
       16.544    5.42523E-09
       16.592    5.24733E-09
       16.640    5.07572E-09
       16.688    4.91017E-09
       16.736    4.75044E-09
       16.784    4.59632E-09
       16.832    4.44760E-09
       16.880    4.30407E-09
       16.928    4.16554E-09
       16.976    4.03183E-09
       17.024    3.90275E-09
       17.072    3.77812E-09
       17.120    3.65779E-09
       17.168    3.54160E-09
       17.216    3.42940E-09
       17.264    3.32103E-09
       17.312    3.21636E-09
       17.360    3.11525E-09
       17.408    3.01757E-09
       17.456    2.92320E-09
       17.504    2.83202E-09
       17.552    2.74391E-09
       17.600    2.65876E-09
       17.648    2.57646E-09
       17.696    2.49691E-09
       17.744    2.42001E-09
       17.792    2.34568E-09
       17.840    2.27381E-09
       17.888    2.20431E-09
       17.936    2.13711E-09
       17.984    2.07213E-09
       18.032    2.00928E-09
       18.080    1.94848E-09
       18.128    1.88968E-09
       18.176    1.83279E-09
       18.224    1.77775E-09
       18.272    1.72450E-09
       18.320    1.67297E-09
       18.368    1.62311E-09
       18.416    1.57485E-09
       18.464    1.52814E-09
       18.512    1.48293E-09
       18.560    1.43916E-09
       18.608    1.90691E-09
       18.656    1.85257E-09
       18.704    1.79991E-09
       18.752    1.74887E-09
       18.800    1.69941E-09
       18.848    1.65146E-09
       18.896    1.60498E-09
       18.944    1.55992E-09
       18.992    1.51623E-09
       19.040    1.47386E-09
       19.088    1.43279E-09
       19.136    1.39295E-09
       19.184    1.35432E-09
       19.232    1.31684E-09
       19.280    1.28050E-09
       19.328    1.24524E-09
       19.376    1.21103E-09
       19.424    1.17785E-09
       19.472    1.14565E-09
       19.520    1.11441E-09
       19.568    1.08409E-09
