          %pt            TT            TS            SS            Tot
        3.791    6.92636E-08    2.12207E-07    5.39205E-08    3.35391E-07
        3.797    6.79530E-08    2.10793E-07    5.34260E-08    3.32172E-07
        3.804    6.66661E-08    2.09382E-07    5.29365E-08    3.28985E-07
        3.810    6.54023E-08    2.07973E-07    5.24518E-08    3.25827E-07
        3.817    6.41613E-08    2.06566E-07    5.19720E-08    3.22699E-07
        3.823    6.29427E-08    2.05161E-07    5.14970E-08    3.19601E-07
        3.830    6.17461E-08    2.03758E-07    5.10268E-08    3.16531E-07
        3.836    6.05712E-08    2.02358E-07    5.05612E-08    3.13491E-07
        3.843    5.94176E-08    2.00961E-07    5.01003E-08    3.10479E-07
        3.849    5.82849E-08    1.99566E-07    4.96440E-08    3.07494E-07
        3.856    5.71727E-08    1.98173E-07    4.91923E-08    3.04538E-07
        3.862    5.60808E-08    1.96783E-07    4.87450E-08    3.01609E-07
        3.868    5.50087E-08    1.95396E-07    4.83022E-08    2.98707E-07
        3.875    5.39562E-08    1.94012E-07    4.78638E-08    2.95832E-07
        3.881    5.29229E-08    1.92631E-07    4.74297E-08    2.92984E-07
        3.888    5.19085E-08    1.91253E-07    4.70000E-08    2.90161E-07
        3.894    5.09126E-08    1.89877E-07    4.65745E-08    2.87365E-07
        3.901    4.99349E-08    1.88505E-07    4.61532E-08    2.84594E-07
        3.907    4.89752E-08    1.87136E-07    4.57361E-08    2.81848E-07
        3.914    4.80331E-08    1.85771E-07    4.53231E-08    2.79127E-07
        3.920    4.71082E-08    1.84409E-07    4.49142E-08    2.76431E-07
        3.926    4.62004E-08    1.83050E-07    4.45094E-08    2.73759E-07
        3.933    4.53093E-08    1.81694E-07    4.41085E-08    2.71112E-07
        3.939    4.44346E-08    1.80342E-07    4.37116E-08    2.68488E-07
        3.946    4.35761E-08    1.78994E-07    4.33186E-08    2.65889E-07
        3.952    4.27334E-08    1.77649E-07    4.29294E-08    2.63312E-07
        3.959    4.19062E-08    1.76308E-07    4.25441E-08    2.60759E-07
        3.965    4.10944E-08    1.74971E-07    4.21626E-08    2.58228E-07
        3.972    4.02977E-08    1.73638E-07    4.17848E-08    2.55720E-07
        3.978    3.95157E-08    1.72308E-07    4.14107E-08    2.53235E-07
        3.985    3.87482E-08    1.70983E-07    4.10403E-08    2.50772E-07
        3.991    3.79950E-08    1.69662E-07    4.06736E-08    2.48330E-07
        3.997    3.72558E-08    1.68344E-07    4.03104E-08    2.45910E-07
        4.004    3.65304E-08    1.67031E-07    3.99507E-08    2.43512E-07
        4.010    3.58186E-08    1.65722E-07    3.95946E-08    2.41135E-07
        4.017    3.51200E-08    1.64417E-07    3.92419E-08    2.38779E-07
        4.023    3.44344E-08    1.63117E-07    3.88927E-08    2.36444E-07
        4.030    3.37617E-08    1.61821E-07    3.85469E-08    2.34129E-07
        4.036    3.31016E-08    1.60529E-07    3.82044E-08    2.31835E-07
        4.043    3.24538E-08    1.59241E-07    3.78653E-08    2.29561E-07
        4.049    3.18182E-08    1.57959E-07    3.75295E-08    2.27306E-07
        4.055    3.11946E-08    1.56681E-07    3.71970E-08    2.25072E-07
        4.062    3.05827E-08    1.55407E-07    3.68676E-08    2.22857E-07
        4.068    2.99822E-08    1.54138E-07    3.65415E-08    2.20662E-07
        4.075    2.93931E-08    1.52874E-07    3.62185E-08    2.18485E-07
        4.081    2.88152E-08    1.51614E-07    3.58986E-08    2.16328E-07
        4.088    2.82481E-08    1.50360E-07    3.55819E-08    2.14190E-07
        4.094    2.76917E-08    1.49110E-07    3.52682E-08    2.12070E-07
        4.101    2.71459E-08    1.47865E-07    3.49575E-08    2.09968E-07
        4.107    2.66104E-08    1.46625E-07    3.46498E-08    2.07885E-07
        4.114    2.60850E-08    1.45390E-07    3.43451E-08    2.05820E-07
        4.120    2.55696E-08    1.44160E-07    3.40434E-08    2.03773E-07
        4.126    2.50640E-08    1.42935E-07    3.37445E-08    2.01743E-07
        4.133    2.45680E-08    1.41715E-07    3.34485E-08    1.99732E-07
        4.139    2.40815E-08    1.40500E-07    3.31553E-08    1.97737E-07
        4.146    2.36042E-08    1.39291E-07    3.28650E-08    1.95760E-07
        4.152    2.31360E-08    1.38086E-07    3.25775E-08    1.93800E-07
        4.159    2.26768E-08    1.36887E-07    3.22927E-08    1.91857E-07
        4.165    2.22263E-08    1.35694E-07    3.20106E-08    1.89931E-07
        4.172    2.17844E-08    1.34505E-07    3.17312E-08    1.88021E-07
        4.178    2.13510E-08    1.33322E-07    3.14545E-08    1.86128E-07
        4.184    2.09259E-08    1.32144E-07    3.11805E-08    1.84251E-07
        4.191    2.05089E-08    1.30972E-07    3.09091E-08    1.82390E-07
        4.197    2.00999E-08    1.29805E-07    3.06402E-08    1.80546E-07
        4.204    1.96988E-08    1.28644E-07    3.03739E-08    1.78717E-07
        4.210    1.93054E-08    1.27488E-07    3.01102E-08    1.76904E-07
        4.217    1.89196E-08    1.26338E-07    2.98490E-08    1.75107E-07
        4.223    1.85412E-08    1.25194E-07    2.95902E-08    1.73325E-07
        4.230    1.81701E-08    1.24055E-07    2.93339E-08    1.71559E-07
        4.236    1.78061E-08    1.22921E-07    2.90800E-08    1.69807E-07
        4.243    1.74492E-08    1.21794E-07    2.88286E-08    1.68071E-07
        4.249    1.70992E-08    1.20672E-07    2.85795E-08    1.66350E-07
        4.255    1.67559E-08    1.19555E-07    2.83328E-08    1.64644E-07
        4.262    1.64193E-08    1.18445E-07    2.80884E-08    1.62953E-07
        4.268    1.60893E-08    1.17340E-07    2.78464E-08    1.61276E-07
        4.275    1.57656E-08    1.16241E-07    2.76066E-08    1.59613E-07
        4.281    1.54482E-08    1.15148E-07    2.73691E-08    1.57965E-07
        4.288    1.51370E-08    1.14061E-07    2.71338E-08    1.56331E-07
        4.294    1.48318E-08    1.12979E-07    2.69007E-08    1.54712E-07
        4.301    1.45326E-08    1.11904E-07    2.66698E-08    1.53106E-07
        4.307    1.42392E-08    1.10834E-07    2.64412E-08    1.51514E-07
        4.313    1.39515E-08    1.09770E-07    2.62146E-08    1.49936E-07
        4.320    1.36694E-08    1.08713E-07    2.59902E-08    1.48372E-07
        4.326    1.33929E-08    1.07661E-07    2.57679E-08    1.46821E-07
        4.333    1.31217E-08    1.06615E-07    2.55476E-08    1.45284E-07
        4.339    1.28559E-08    1.05575E-07    2.53295E-08    1.43760E-07
        4.346    1.25952E-08    1.04541E-07    2.51134E-08    1.42250E-07
        4.352    1.23397E-08    1.03513E-07    2.48993E-08    1.40752E-07
        4.359    1.20892E-08    1.02491E-07    2.46872E-08    1.39268E-07
        4.365    1.18436E-08    1.01476E-07    2.44770E-08    1.37796E-07
        4.372    1.16028E-08    1.00466E-07    2.42689E-08    1.36338E-07
        4.378    1.13668E-08    9.94624E-08    2.40627E-08    1.34892E-07
        4.384    1.11354E-08    9.84648E-08    2.38584E-08    1.33459E-07
        4.391    1.09086E-08    9.74734E-08    2.36560E-08    1.32038E-07
        4.397    1.06862E-08    9.64880E-08    2.34555E-08    1.30630E-07
        4.404    1.04682E-08    9.55088E-08    2.32569E-08    1.29234E-07
        4.410    1.02545E-08    9.45357E-08    2.30601E-08    1.27850E-07
        4.417    1.00451E-08    9.35687E-08    2.28651E-08    1.26479E-07
        4.423    9.83977E-09    9.26079E-08    2.26719E-08    1.25120E-07
        4.430    9.63853E-09    9.16532E-08    2.24805E-08    1.23772E-07
        4.436    9.44127E-09    9.07047E-08    2.22909E-08    1.22437E-07
        4.442    9.24792E-09    8.97623E-08    2.21031E-08    1.21113E-07
        4.449    9.05841E-09    8.88260E-08    2.19170E-08    1.19801E-07
        4.455    8.87266E-09    8.78960E-08    2.17326E-08    1.18501E-07
        4.462    8.69060E-09    8.69721E-08    2.15499E-08    1.17213E-07
        4.468    8.51216E-09    8.60544E-08    2.13689E-08    1.15935E-07
        4.475    8.33727E-09    8.51429E-08    2.11895E-08    1.14670E-07
        4.481    8.16587E-09    8.42375E-08    2.10118E-08    1.13415E-07
        4.488    7.99788E-09    8.33383E-08    2.08358E-08    1.12172E-07
        4.494    7.83324E-09    8.24453E-08    2.06613E-08    1.10940E-07
        4.501    7.67189E-09    8.15585E-08    2.04885E-08    1.09719E-07
        4.507    7.51377E-09    8.06778E-08    2.03173E-08    1.08509E-07
        4.513    7.35880E-09    7.98034E-08    2.01476E-08    1.07310E-07
        4.520    7.20694E-09    7.89351E-08    1.99794E-08    1.06121E-07
        4.526    7.05812E-09    7.80730E-08    1.98129E-08    1.04944E-07
        4.533    6.91228E-09    7.72170E-08    1.96478E-08    1.03777E-07
        4.539    6.76936E-09    7.63672E-08    1.94843E-08    1.02621E-07
        4.546    6.62931E-09    7.55236E-08    1.93222E-08    1.01475E-07
        4.552    6.49208E-09    7.46862E-08    1.91616E-08    1.00340E-07
        4.559    6.35760E-09    7.38549E-08    1.90025E-08    9.92150E-08
        4.565    6.22583E-09    7.30297E-08    1.88448E-08    9.81004E-08
        4.571    6.09671E-09    7.22107E-08    1.86886E-08    9.69960E-08
        4.578    5.97019E-09    7.13978E-08    1.85338E-08    9.59018E-08
        4.584    5.84622E-09    7.05911E-08    1.83804E-08    9.48177E-08
        4.591    5.72476E-09    6.97905E-08    1.82284E-08    9.37436E-08
        4.597    5.60574E-09    6.89960E-08    1.80778E-08    9.26795E-08
