          %pt            int_Sj
       13.808    4.90136E-08
       13.856    4.70513E-08
       13.904    4.51734E-08
       13.952    4.33760E-08
       14.000    4.16554E-08
       14.048    4.00081E-08
       14.096    3.84308E-08
       14.144    3.69203E-08
       14.192    3.54736E-08
       14.240    3.40877E-08
       14.288    3.27601E-08
       14.336    3.14879E-08
       14.384    3.02689E-08
       14.432    2.91005E-08
       14.480    2.79806E-08
       14.528    2.69070E-08
       14.576    2.58776E-08
       14.624    2.48905E-08
       14.672    2.39440E-08
       14.720    2.30360E-08
       14.768    2.21651E-08
       14.816    2.13295E-08
       14.864    2.33823E-08
       14.912    2.25207E-08
       14.960    2.16932E-08
       15.008    2.08986E-08
       15.056    2.01353E-08
       15.104    1.94021E-08
       15.152    1.86976E-08
       15.200    1.80208E-08
       15.248    1.73703E-08
       15.296    1.67451E-08
       15.344    1.61442E-08
       15.392    1.55666E-08
       15.440    1.50112E-08
       15.488    1.44772E-08
       15.536    1.39636E-08
       15.584    1.34697E-08
       15.632    1.29946E-08
       15.680    1.25376E-08
       15.728    1.20980E-08
       15.776    1.16749E-08
       15.824    1.12678E-08
       15.872    1.08760E-08
       15.920    1.04989E-08
       15.968    1.01359E-08
       16.016    9.78648E-09
       16.064    9.45000E-09
       16.112    9.12600E-09
       16.160    8.81398E-09
       16.208    8.51347E-09
       16.256    8.22401E-09
       16.304    7.94516E-09
       16.352    7.67652E-09
       16.400    7.41767E-09
       16.448    7.16824E-09
       16.496    6.92786E-09
       16.544    6.69618E-09
       16.592    6.47285E-09
       16.640    6.25755E-09
       16.688    6.04998E-09
       16.736    5.84984E-09
       16.784    5.65685E-09
       16.832    5.47072E-09
       16.880    5.29120E-09
       16.928    5.11804E-09
       16.976    4.95100E-09
       17.024    4.78984E-09
       17.072    4.63434E-09
       17.120    4.48429E-09
       17.168    4.33948E-09
       17.216    4.19972E-09
       17.264    4.06482E-09
       17.312    3.93459E-09
       17.360    3.80887E-09
       17.408    3.68748E-09
       17.456    3.57027E-09
       17.504    3.45709E-09
       17.552    3.34777E-09
       17.600    3.24219E-09
       17.648    3.14020E-09
       17.696    3.04168E-09
       17.744    2.94649E-09
       17.792    2.85452E-09
       17.840    2.76565E-09
       17.888    2.67977E-09
       17.936    2.59677E-09
       17.984    2.51654E-09
       18.032    2.43899E-09
       18.080    2.36403E-09
       18.128    2.29155E-09
       18.176    2.22147E-09
       18.224    2.15370E-09
       18.272    2.08817E-09
       18.320    2.02479E-09
       18.368    1.96349E-09
       18.416    1.90420E-09
       18.464    1.84684E-09
       18.512    1.79134E-09
       18.560    1.73765E-09
       18.608    1.68570E-09
       18.656    1.63542E-09
       18.704    1.58676E-09
       18.752    1.53967E-09
       18.800    1.49409E-09
       18.848    1.44997E-09
       18.896    1.92076E-09
       18.944    1.86600E-09
       18.992    1.81292E-09
       19.040    1.76148E-09
       19.088    1.71163E-09
       19.136    1.66331E-09
       19.184    1.61646E-09
       19.232    1.57105E-09
       19.280    1.52702E-09
       19.328    1.48433E-09
       19.376    1.44294E-09
       19.424    1.40279E-09
       19.472    1.36386E-09
       19.520    1.32610E-09
       19.568    1.28948E-09
       19.616    1.25395E-09
       19.664    1.21949E-09
       19.712    1.18605E-09
       19.760    1.15361E-09
       19.808    1.12213E-09
       19.856    1.09158E-09
       19.904    1.06194E-09
       19.952    1.03317E-09
       20.000    1.00524E-09
       20.048    9.78135E-10
       20.096    9.51822E-10
       20.144    9.26278E-10
       20.192    9.01479E-10
       20.240    8.77399E-10
       20.288    8.54018E-10
       20.336    8.31313E-10
       20.384    8.09263E-10
       20.432    7.87849E-10
       20.480    7.67049E-10
       20.528    7.46846E-10
       20.576    7.27220E-10
       20.624    7.08154E-10
       20.672    6.89631E-10
       20.720    6.71635E-10
       20.768    6.54147E-10
       20.816    6.37155E-10
       20.864    6.20641E-10
       20.912    6.04592E-10
       20.960    5.88994E-10
       21.008    5.73834E-10
       21.056    5.59097E-10
       21.104    5.44770E-10
       21.152    5.30843E-10
       21.200    5.17302E-10
       21.248    5.04136E-10
       21.296    4.91335E-10
       21.344    4.78886E-10
       21.392    4.66780E-10
       21.440    4.55006E-10
       21.488    4.43555E-10
       21.536    4.32417E-10
       21.584    4.21583E-10
       21.632    4.11043E-10
       21.680    4.00790E-10
       21.728    3.90814E-10
       21.776    3.81109E-10
       21.824    3.71665E-10
       21.872    3.62476E-10
       21.920    3.53533E-10
       21.968    3.44830E-10
       22.016    3.36360E-10
       22.064    3.28116E-10
       22.112    3.20091E-10
       22.160    3.12280E-10
       22.208    3.04676E-10
       22.256    2.97273E-10
       22.304    2.90065E-10
       22.352    2.83048E-10
       22.400    2.76214E-10
       22.448    2.69561E-10
       22.496    2.63081E-10
       22.544    2.56770E-10
       22.592    2.50624E-10
       22.640    2.44639E-10
       22.688    2.38808E-10
       22.736    2.33128E-10
       22.784    2.27595E-10
       22.832    2.22205E-10
       22.880    2.16954E-10
       22.928    2.11838E-10
       22.976    2.06853E-10
       23.024    2.01995E-10
       23.072    1.97261E-10
       23.120    1.92648E-10
       23.168    1.88152E-10
       23.216    1.83770E-10
       23.264    1.79499E-10
       23.312    1.75336E-10
       23.360    1.71278E-10
       23.408    1.67323E-10
       23.456    1.63466E-10
       23.504    1.59706E-10
       23.552    1.56040E-10
       23.600    1.52466E-10
       23.648    1.48981E-10
       23.696    1.45582E-10
       23.744    1.42268E-10
       23.792    1.39035E-10
       23.840    1.35883E-10
       23.888    1.32808E-10
       23.936    1.29809E-10
       23.984    1.26883E-10
       24.032    1.24030E-10
       24.080    1.21246E-10
       24.128    1.18530E-10
       24.176    1.94997E-10
       24.224    1.90762E-10
       24.272    1.86629E-10
       24.320    1.82592E-10
       24.368    1.78650E-10
       24.416    1.74801E-10
       24.464    1.71043E-10
       24.512    1.67372E-10
       24.560    1.63787E-10
       24.608    1.60286E-10
       24.656    1.56866E-10
       24.704    1.53525E-10
       24.752    1.50262E-10
       24.800    1.47074E-10
       24.848    1.43960E-10
       24.896    1.40918E-10
       24.944    1.37946E-10
       24.992    1.35042E-10
       25.040    1.32204E-10
       25.088    1.29432E-10
       25.136    1.26722E-10
       25.184    1.24075E-10
       25.232    1.21487E-10
       25.280    1.18959E-10
       25.328    1.16487E-10
       25.376    1.14072E-10
       25.424    1.11711E-10
       25.472    1.09403E-10
       25.520    1.07147E-10
       25.568    1.04942E-10
       25.616    1.02786E-10
       25.664    1.00678E-10
       25.712    9.86179E-11
       25.760    9.66032E-11
       25.808    9.46333E-11
       25.856    9.27071E-11
       25.904    9.08237E-11
       25.952    8.89819E-11
       26.000    8.71807E-11
       26.048    8.54192E-11
       26.096    8.36965E-11
       26.144    8.20115E-11
       26.192    8.03636E-11
       26.240    7.87516E-11
       26.288    7.71749E-11
       26.336    7.56325E-11
       26.384    7.41237E-11
       26.432    7.26476E-11
       26.480    7.12036E-11
       26.528    6.97908E-11
       26.576    6.84085E-11
       26.624    6.70560E-11
       26.672    6.57326E-11
       26.720    6.44377E-11
       26.768    6.31705E-11
       26.816    6.19305E-11
       26.864    6.07169E-11
       26.912    5.95292E-11
       26.960    5.83669E-11
       27.008    5.72293E-11
       27.056    5.61157E-11
       27.104    5.50258E-11
       27.152    5.39589E-11
       27.200    5.29145E-11
       27.248    5.18922E-11
       27.296    5.08914E-11
       27.344    4.99115E-11
       27.392    4.89522E-11
       27.440    4.80130E-11
       27.488    4.70934E-11
       27.536    4.61930E-11
       27.584    4.53113E-11
       27.632    4.44479E-11
       27.680    4.36025E-11
       27.728    4.27745E-11
       27.776    4.19637E-11
       27.824    4.11696E-11
       27.872    4.03919E-11
       27.920    3.96301E-11
       27.968    3.88840E-11
       28.016    3.81532E-11
       28.064    3.74374E-11
       28.112    3.67362E-11
       28.160    3.60492E-11
       28.208    3.53763E-11
       28.256    3.47170E-11
       28.304    3.40711E-11
       28.352    3.34383E-11
       28.400    3.28183E-11
       28.448    3.22108E-11
       28.496    3.16156E-11
       28.544    3.10323E-11
       28.592    3.04607E-11
       28.640    2.99007E-11
       28.688    2.93518E-11
       28.736    2.88139E-11
       28.784    2.82867E-11
       28.832    2.77700E-11
       28.880    2.72636E-11
       28.928    2.67673E-11
       28.976    2.62808E-11
       29.024    2.58039E-11
       29.072    2.53364E-11
       29.120    2.48782E-11
