#: table_doi: 10.17182/hepdata.94313.v1/t53
#: name: Lambda pT spectrum, Au+Au 19.6 GeV, 20-30%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig6_lambda_auau19_cent3.yaml
#: keyword reactions: Au+Au
#: keyword observables: Lambda pT spectrum
#: keyword cmenergies: 19.6
#: Centrality,,,20-30%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.5011,0.4,0.6,1.3923,0.0188,-0.0188,0.0627,-0.0627
0.6992,0.6,0.8,0.9897,0.0087,-0.0087,0.0327,-0.0327
0.8979,0.8,1.0,0.6841,0.0053,-0.0053,0.0214,-0.0214
1.0969,1.0,1.2,0.4345,0.0032,-0.0032,0.011,-0.011
1.2961,1.2,1.4,0.25697,0.00198,-0.00198,0.00624,-0.00624
1.4956,1.4,1.6,0.14419,0.00116,-0.00116,0.00367,-0.00367
1.6952,1.6,1.8,0.07819,0.00067,-0.00067,0.00182,-0.00182
1.8948,1.8,2.0,0.041054,0.000382,-0.000382,0.000972,-0.000972
2.1369,2.0,2.3,0.017863,0.000149,-0.000149,0.00058,-0.00058
2.4368,2.3,2.6,0.006315,6.4e-05,-6.4e-05,0.000229,-0.000229
2.7767,2.6,3.0,0.0018978,2.24e-05,-2.24e-05,6.04e-05,-6.04e-05
3.177,3.0,3.4,0.0004487,8.9e-06,-8.9e-06,1.46e-05,-1.46e-05
3.6148,3.4,3.9,0.00010359,3.38e-06,-3.38e-06,3.86e-06,-3.86e-06
4.1157,3.9,4.4,1.732e-05,1.27e-06,-1.27e-06,8.6e-07,-8.6e-07
4.6525,4.4,5.0,2.8e-06,4.74e-07,-4.74e-07,1.46e-07,-1.46e-07

