#: table_doi: 10.17182/hepdata.94313.v1/t46
#: name: Lambda pT spectrum, Au+Au 11.5 GeV, 20-30%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig6_lambda_auau11_cent3.yaml
#: keyword reactions: Au+Au
#: keyword observables: Lambda pT spectrum
#: keyword cmenergies: 11.5
#: Centrality,,,20-30%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.5009,0.4,0.6,1.5887,0.0381,-0.0381,0.0989,-0.0989
0.6989,0.6,0.8,1.1884,0.0189,-0.0189,0.0529,-0.0529
0.8976,0.8,1.0,0.753,0.0104,-0.0104,0.0254,-0.0254
1.0965,1.0,1.2,0.4673,0.0062,-0.0062,0.0227,-0.0227
1.2957,1.2,1.4,0.2653,0.0037,-0.0037,0.0106,-0.0106
1.4952,1.4,1.6,0.14275,0.00206,-0.00206,0.00512,-0.00512
1.6947,1.6,1.8,0.07208,0.00111,-0.00111,0.00242,-0.00242
1.8944,1.8,2.0,0.03638,0.00059,-0.00059,0.00116,-0.00116
2.1368,2.0,2.3,0.014759,0.000219,-0.000219,0.000717,-0.000717
2.4363,2.3,2.6,0.004656,8.6e-05,-8.6e-05,0.000192,-0.000192
2.7752,2.6,3.0,0.0013411,3.09e-05,-3.09e-05,6e-05,-6e-05
3.1748,3.0,3.4,0.0003095,1.22e-05,-1.22e-05,1.42e-05,-1.42e-05
3.6104,3.4,3.9,5.528e-05,4.1e-06,-4.1e-06,2.62e-06,-2.62e-06
4.1099,3.9,4.4,9.83e-06,1.5e-06,-1.5e-06,6.1e-07,-6.1e-07

