#: table_doi: 10.17182/hepdata.94313.v1/t138
#: name: Xi- pT spectrum, Au+Au 39 GeV, 10-20%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig8_xi_auau39_cent4.yaml
#: keyword reactions: Au+Au
#: keyword observables: Xi- pT spectrum
#: keyword cmenergies: 39
#: Centrality,,,10-20%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.799,0.6,1.0,0.1376,0.0019,-0.0019,0.0174,-0.0174
1.1455,1.0,1.3,0.07702,0.00082,-0.00082,0.00721,-0.00721
1.4432,1.3,1.6,0.0417,0.00041,-0.00041,0.0036,-0.0036
1.7415,1.6,1.9,0.02041,0.0002,-0.0002,0.00162,-0.00162
2.0403,1.9,2.2,0.008634,9e-05,-9e-05,0.000687,-0.000687
2.3807,2.2,2.6,0.003186,3.3e-05,-3.3e-05,0.000282,-0.000282
2.8558,2.6,3.2,0.0007375,1e-05,-1e-05,6.31e-05,-6.31e-05
3.5223,3.2,4.0,9.821e-05,2.55e-06,-2.55e-06,8.51e-06,-8.51e-06
4.3825,4.0,5.0,7.554e-06,5.51e-07,-5.51e-07,6.7e-07,-6.7e-07

