          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.899    1.55797E+00    6.12669E-17    2.08442E-17    1.33375E-20    1.95435E-17    1.35005E-20    1.55797E+00
        1.098    1.05346E+00    4.35541E-17    1.50441E-17    3.00803E-21    1.78887E-17    3.07080E-21    1.05346E+00
        1.297    6.61624E-01    3.03143E-17    1.10632E-17    8.53765E-22    1.63654E-17    8.79581E-22    6.61624E-01
        1.496    3.95876E-01    2.09253E-17    8.24456E-18    2.86577E-22    1.50010E-17    2.98084E-22    3.95876E-01
        1.696    2.28888E-01    1.44359E-17    6.22144E-18    1.09182E-22    1.37932E-17    1.14695E-22    2.28888E-01
        1.895    1.29107E-01    1.00051E-17    4.75434E-18    4.59801E-23    1.27303E-17    4.87941E-23    1.29107E-01
        2.138    6.28390E-02    6.47795E-18    3.48674E-18    1.95207E-23    1.15686E-17    2.10650E-23    6.28390E-02
        2.438    2.51339E-02    3.86432E-18    2.42853E-18    6.93081E-24    1.02944E-17    7.60647E-24    2.51339E-02
        2.779    8.65054E-03    2.21342E-18    1.65020E-18    2.42710E-24    9.08414E-18    2.71413E-24    8.65054E-03
        3.179    2.41316E-03    1.19650E-18    1.08289E-18    8.27402E-25    7.95509E-18    9.46478E-25    2.41316E-03
        3.618    5.83164E-04    6.38450E-19    7.07677E-19    2.75269E-25    6.97354E-18    3.19822E-25    5.83164E-04
        4.118    1.13316E-04    3.29613E-19    4.54181E-19    9.65341E-26    6.07019E-18    1.15165E-25    1.13316E-04
        4.656    1.92473E-05    1.72052E-19    2.94547E-19    3.54118E-26    5.28447E-18    4.34235E-26    1.92473E-05
        5.386    1.70379E-06    7.74608E-20    1.72615E-19    1.15226E-26    4.47213E-18    1.49235E-26    1.70379E-06
          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.502    2.20618E+00    1.26891E-16    7.42442E-17    9.16017E-19    2.28879E-17    9.14265E-19    2.20618E+00
        0.700    2.09246E+00    8.39680E-17    3.11057E-17    8.32537E-20    2.12578E-17    8.36001E-20    2.09246E+00
        0.899    1.59421E+00    6.16046E-17    2.09575E-17    1.33433E-20    1.95435E-17    1.35005E-20    1.59421E+00
        1.098    1.07796E+00    4.37899E-17    1.51253E-17    3.00936E-21    1.78887E-17    3.07080E-21    1.07796E+00
        1.297    6.77010E-01    3.04742E-17    1.11218E-17    8.54149E-22    1.63654E-17    8.79581E-22    6.77010E-01
        1.496    4.05082E-01    2.10324E-17    8.28721E-18    2.86706E-22    1.50010E-17    2.98084E-22    4.05082E-01
        1.696    2.34211E-01    1.45072E-17    6.25280E-18    1.09231E-22    1.37932E-17    1.14695E-22    2.34211E-01
        1.895    1.32110E-01    1.00528E-17    4.77767E-18    4.60008E-23    1.27303E-17    4.87941E-23    1.32110E-01
        2.138    6.43004E-02    6.50734E-18    3.50328E-18    1.95302E-23    1.15686E-17    2.10650E-23    6.43004E-02
        2.438    2.57184E-02    3.88076E-18    2.43957E-18    6.93416E-24    1.02944E-17    7.60647E-24    2.57184E-02
        2.779    8.85172E-03    2.22214E-18    1.65737E-18    2.42825E-24    9.08414E-18    2.71413E-24    8.85172E-03
        3.179    2.46928E-03    1.20081E-18    1.08734E-18    8.27788E-25    7.95509E-18    9.46478E-25    2.46928E-03
        3.618    5.96726E-04    6.40539E-19    7.10413E-19    2.75388E-25    6.97354E-18    3.19822E-25    5.96726E-04
        4.118    1.15951E-04    3.30582E-19    4.55822E-19    9.65749E-26    6.07019E-18    1.15165E-25    1.15951E-04
        4.656    1.96949E-05    1.72506E-19    2.95539E-19    3.54263E-26    5.28447E-18    4.34235E-26    1.96949E-05
        5.386    1.74342E-06    7.76386E-20    1.73146E-19    1.15275E-26    4.47213E-18    1.49235E-26    1.74342E-06
          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.502    2.25632E+00    1.27439E-16    7.45076E-17    9.16365E-19    2.28879E-17    9.14265E-19    2.25632E+00
        0.700    2.14001E+00    8.44243E-17    3.12659E-17    8.32880E-20    2.12578E-17    8.36001E-20    2.14001E+00
        0.899    1.63044E+00    6.19422E-17    2.10708E-17    1.33490E-20    1.95435E-17    1.35005E-20    1.63044E+00
        1.098    1.10246E+00    4.40257E-17    1.52065E-17    3.01067E-21    1.78887E-17    3.07080E-21    1.10246E+00
