%cen   10-20%
%pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err       tot. err
0.4       0.5        0.4469     5.5941e-001     3.8399e-002     7.4185e-002     8.3534e-002
0.5       0.6        0.5497     4.8565e-001     1.9260e-002     6.2706e-002     6.5597e-002
0.6       0.7        0.6563     4.6636e-001     1.3878e-002     5.8778e-002     6.0394e-002
0.7       0.9        0.8051     3.5865e-001     5.9450e-003     4.3809e-002     4.4211e-002
0.9       1.0        0.9503     2.6985e-001     6.1495e-003     3.2137e-002     3.2720e-002
1.0       1.3        1.1479     1.8034e-001     2.8460e-003     2.0958e-002     2.1150e-002
1.3       1.7        1.4895     7.3402e-002     1.6817e-003     8.3725e-003     8.5398e-003
1.7       2.0        1.8421     2.3910e-002     1.0353e-003     2.7487e-003     2.9372e-003
2.0       2.5        2.2250     7.0592e-003     3.2103e-004     8.3834e-004     8.9770e-004
2.5       3.0        2.7226     1.4934e-003     1.1683e-004     1.8825e-004     2.2156e-004
3.0       4.0        3.3882     2.1400e-004     2.0405e-005     2.9495e-005     3.5865e-005
4.0       5.0        4.3831     1.5345e-005     3.8874e-006     2.2056e-006     4.4695e-006
