%cen   30-40%
%pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err       tot. err
0.4       0.5        0.4469     2.6126e-001     1.5984e-002     3.4533e-002     3.8053e-002
0.5       0.6        0.5497     2.3826e-001     9.1900e-003     3.0831e-002     3.2171e-002
0.6       0.7        0.6563     2.1215e-001     5.8643e-003     2.6937e-002     2.7568e-002
0.7       0.9        0.8051     1.5818e-001     2.4867e-003     1.9607e-002     1.9764e-002
0.9       1.0        0.9503     1.1717e-001     2.5330e-003     1.4253e-002     1.4476e-002
1.0       1.3        1.1478     7.0272e-002     1.0818e-003     8.4033e-003     8.4726e-003
1.3       1.7        1.4894     2.7738e-002     6.7416e-004     3.2853e-003     3.3538e-003
1.7       2.0        1.8421     9.4097e-003     4.2402e-004     1.1284e-003     1.2054e-003
2.0       2.5        2.2250     3.0447e-003     1.5032e-004     3.7756e-004     4.0639e-004
2.5       3.0        2.7225     6.3124e-004     5.4198e-005     8.2936e-005     9.9075e-005
3.0       4.0        3.3879     8.9170e-005     9.0105e-006     1.2791e-005     1.5646e-005
4.0       5.0        4.3828     6.0262e-006     1.4387e-006     9.1563e-007     1.7053e-006
