#: table_doi: 10.17182/hepdata.94313.v1/t286
#: name: K0S Rcp(0-5%/40-60%), Au+Au 11.5 GeV
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig28_k0s_auau11.yaml
#: keyword reactions: Au+Au
#: keyword observables: Rcp
#: keyword cmenergies: 11.5
#: particles,K0S
pT [GeV/c],Rcp,stat +,stat -,sys +,sys -
0.3004,0.677,0.028,-0.028,0.052,-0.052
0.4966,0.757,0.019,-0.019,0.04,-0.04
0.6949,0.832,0.017,-0.017,0.038,-0.038
0.8941,0.983,0.019,-0.019,0.038,-0.038
1.0937,1.01,0.021,-0.021,0.042,-0.042
1.2934,1.061,0.024,-0.024,0.036,-0.036
1.4933,1.105,0.029,-0.029,0.044,-0.044
1.6933,1.215,0.038,-0.038,0.047,-0.047
1.8932,1.232,0.046,-0.046,0.05,-0.05
2.1347,1.288,0.053,-0.053,0.041,-0.041
2.4346,1.276,0.085,-0.085,0.042,-0.042
2.7727,1.51,0.16,-0.16,0.06,-0.06
3.1726,1.95,0.48,-0.48,0.07,-0.07
3.6075,2.5,1.0,-1.0,0.1,-0.1

