#: table_doi: 10.17182/hepdata.94313.v1/t233
#: name: Lambda dN/dy, Au+Au 19.6 GeV
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig17_lambda_auau19.yaml
#: keyword reactions: Au+Au
#: keyword observables: Lambda dN/dy
#: keyword cmenergies: 19.6
#: particles,Lambda
<Npart>,dN/dy,stat +,stat -,sys +,sys -
19.9,0.343,0.002,-0.002,0.021,-0.021
57.7,1.443,0.006,-0.006,0.06,-0.06
108.0,3.16,0.01,-0.01,0.12,-0.12
158.1,5.04,0.02,-0.02,0.16,-0.16
224.9,7.67,0.02,-0.02,0.28,-0.28
289.2,10.15,0.04,-0.04,0.36,-0.36
338.0,12.58,0.04,-0.04,0.46,-0.46

