#: table_doi: 10.17182/hepdata.94313.v1/t25
#: name: K0S pT spectrum, Au+Au 27 GeV, 20-30%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig5_k0s_auau27_cent3.yaml
#: keyword reactions: Au+Au
#: keyword observables: K0S pT spectrum
#: keyword cmenergies: 27
#: Centrality,,,20-30%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.3002,0.2,0.4,6.0,0.078,-0.078,0.205,-0.205
0.4964,0.4,0.6,3.7078,0.0293,-0.0293,0.0685,-0.0685
0.6949,0.6,0.8,1.9711,0.0126,-0.0126,0.027,-0.027
0.8942,0.8,1.0,0.9578,0.0058,-0.0058,0.0227,-0.0227
1.0938,1.0,1.2,0.4512,0.0029,-0.0029,0.0103,-0.0103
1.2937,1.2,1.4,0.21336,0.00153,-0.00153,0.00512,-0.00512
1.4937,1.4,1.6,0.09875,0.00079,-0.00079,0.00299,-0.00299
1.6937,1.6,1.8,0.04569,0.00041,-0.00041,0.00148,-0.00148
1.8938,1.8,2.0,0.021871,0.000221,-0.000221,0.000562,-0.000562
2.1362,2.0,2.3,0.008776,8.3e-05,-8.3e-05,0.000282,-0.000282
2.4364,2.3,2.6,0.003066,3.7e-05,-3.7e-05,0.000113,-0.000113
2.7766,2.6,3.0,0.0009283,1.36e-05,-1.36e-05,3.28e-05,-3.28e-05
3.1773,3.0,3.4,0.0002363,5.3e-06,-5.3e-06,1.02e-05,-1.02e-05
3.6159,3.4,3.9,5.526e-05,2.06e-06,-2.06e-06,2.78e-06,-2.78e-06
4.1171,3.9,4.4,1.1368e-05,8.5e-07,-8.5e-07,6.48e-07,-6.48e-07
4.6548,4.4,5.0,2.087e-06,3.15e-07,-3.15e-07,1.39e-07,-1.39e-07

