#: table_doi: 10.17182/hepdata.94313.v1/t94
#: name: AntiLambda pT spectrum, Au+Au 27 GeV, 30-40%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig7_lambdabar_auau27_cent2.yaml
#: keyword reactions: Au+Au
#: keyword observables: AntiLambda pT spectrum
#: keyword cmenergies: 27
#: Centrality,,,30-40%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.5012,0.4,0.6,0.2436,0.0044,-0.0044,0.0136,-0.0136
0.6993,0.6,0.8,0.18103,0.00212,-0.00212,0.0081,-0.0081
0.8979,0.8,1.0,0.1222,0.00124,-0.00124,0.0045,-0.0045
1.097,1.0,1.2,0.07865,0.00077,-0.00077,0.00294,-0.00294
1.2962,1.2,1.4,0.04647,0.00047,-0.00047,0.00162,-0.00162
1.4956,1.4,1.6,0.02676,0.00029,-0.00029,0.00106,-0.00106
1.6952,1.6,1.8,0.014115,0.000164,-0.000164,0.000639,-0.000639
1.8948,1.8,2.0,0.007378,9.5e-05,-9.5e-05,0.000309,-0.000309
2.1368,2.0,2.3,0.003259,3.8e-05,-3.8e-05,0.000152,-0.000152
2.4367,2.3,2.6,0.001135,1.7e-05,-1.7e-05,4.93e-05,-4.93e-05
2.7768,2.6,3.0,0.000344,6.8e-06,-6.8e-06,1.46e-05,-1.46e-05
3.1772,3.0,3.4,8.59e-05,2.79e-06,-2.79e-06,3.8e-06,-3.8e-06
3.6156,3.4,3.9,1.956e-05,1.03e-06,-1.03e-06,9.4e-07,-9.4e-07
4.1167,3.9,4.4,3.46e-06,4.19e-07,-4.19e-07,1.96e-07,-1.96e-07
4.6542,4.4,5.0,5.75e-07,1.7e-07,-1.7e-07,3.5e-08,-3.5e-08

