#: table_doi: 10.17182/hepdata.94313.v1/t28
#: name: K0S pT spectrum, Au+Au 27 GeV, 0-5%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig5_k0s_auau27_cent6.yaml
#: keyword reactions: Au+Au
#: keyword observables: K0S pT spectrum
#: keyword cmenergies: 27
#: Centrality,,,0-5%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.3003,0.2,0.4,13.323,0.178,-0.178,0.555,-0.555
0.4965,0.4,0.6,8.752,0.07,-0.07,0.179,-0.179
0.6949,0.6,0.8,4.9184,0.032,-0.032,0.0975,-0.0975
0.8942,0.8,1.0,2.4653,0.0154,-0.0154,0.0422,-0.0422
1.0939,1.0,1.2,1.1714,0.0077,-0.0077,0.0267,-0.0267
1.2937,1.2,1.4,0.538,0.0039,-0.0039,0.0144,-0.0144
1.4937,1.4,1.6,0.25458,0.00209,-0.00209,0.00688,-0.00688
1.6937,1.6,1.8,0.11808,0.00111,-0.00111,0.00351,-0.00351
1.8938,1.8,2.0,0.0557,0.00061,-0.00061,0.00192,-0.00192
2.1362,2.0,2.3,0.02189,0.00024,-0.00024,0.00105,-0.00105
2.4365,2.3,2.6,0.007354,0.000115,-0.000115,0.000318,-0.000318
2.7767,2.6,3.0,0.0021979,4.34e-05,-4.34e-05,9.07e-05,-9.07e-05
3.1773,3.0,3.4,0.0005478,1.72e-05,-1.72e-05,2.69e-05,-2.69e-05
3.616,3.4,3.9,0.00013155,6.77e-06,-6.77e-06,7.4e-06,-7.4e-06
4.1172,3.9,4.4,2.805e-05,2.85e-06,-2.85e-06,1.72e-06,-1.72e-06
4.655,4.4,5.0,5.51e-06,1.11e-06,-1.11e-06,3.9e-07,-3.9e-07

