#: table_doi: 10.17182/hepdata.94313.v1/t80
#: name: AntiLambda pT spectrum, Au+Au 11.5 GeV, 30-40%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig7_lambdabar_auau11_cent2.yaml
#: keyword reactions: Au+Au
#: keyword observables: AntiLambda pT spectrum
#: keyword cmenergies: 11.5
#: Centrality,,,30-40%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.5009,0.4,0.6,0.07222,0.00319,-0.00319,0.00647,-0.00647
0.6989,0.6,0.8,0.05107,0.00151,-0.00151,0.00298,-0.00298
0.8975,0.8,1.0,0.03226,0.00089,-0.00089,0.00163,-0.00163
1.0963,1.0,1.2,0.01913,0.00055,-0.00055,0.00117,-0.00117
1.2955,1.2,1.4,0.010904,0.000324,-0.000324,0.000448,-0.000448
1.4949,1.4,1.6,0.005882,0.000202,-0.000202,0.000221,-0.000221
1.6942,1.6,1.8,0.002519,0.000106,-0.000106,0.000107,-0.000107
1.894,1.8,2.0,0.0012098,6.48e-05,-6.48e-05,5.94e-05,-5.94e-05
2.1359,2.0,2.3,0.0005793,2.85e-05,-2.85e-05,2.48e-05,-2.48e-05
2.4355,2.3,2.6,0.0001681,1.33e-05,-1.33e-05,8.3e-06,-8.3e-06
2.7737,2.6,3.0,2.819e-05,4.89e-06,-4.89e-06,1.46e-06,-1.46e-06
3.1732,3.0,3.4,1.155e-05,2.46e-06,-2.46e-06,5.6e-07,-5.6e-07
3.608,3.4,3.9,1.484e-06,7.65e-07,-7.65e-07,8e-08,-8e-08

