#: table_doi: 10.17182/hepdata.94313.v1/t236
#: name: AntiXi+ dN/dy, Au+Au 19.6 GeV
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig17_xibar_auau19.yaml
#: keyword reactions: Au+Au
#: keyword observables: AntiXi+ dN/dy
#: keyword cmenergies: 19.6
#: particles,AntiXi+
<Npart>,dN/dy,stat +,stat -,sys +,sys -
19.9,0.01121,0.0003,-0.0003,0.00063,-0.00063
57.7,0.0523,0.0006,-0.0006,0.0029,-0.0029
108.0,0.1146,0.0013,-0.0013,0.0047,-0.0047
158.1,0.1769,0.0016,-0.0016,0.0097,-0.0097
224.9,0.26,0.002,-0.002,0.019,-0.019
289.2,0.336,0.004,-0.004,0.028,-0.028
338.0,0.421,0.005,-0.005,0.03,-0.03

