#: table_doi: 10.17182/hepdata.94313.v1/t251
#: name: Xi- dN/dy, Au+Au 39 GeV
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig17_xi_auau39.yaml
#: keyword reactions: Au+Au
#: keyword observables: Xi- dN/dy
#: keyword cmenergies: 39
#: particles,Xi-
<Npart>,dN/dy,stat +,stat -,sys +,sys -
20.0,0.0312,0.0004,-0.0004,0.0025,-0.0025
59.2,0.157,0.001,-0.001,0.011,-0.011
111.4,0.37,0.002,-0.002,0.025,-0.025
162.4,0.591,0.003,-0.003,0.037,-0.037
229.8,0.92,0.005,-0.005,0.096,-0.096
293.9,1.24,0.01,-0.01,0.12,-0.12
341.7,1.54,0.01,-0.01,0.19,-0.19

