#: table_doi: 10.17182/hepdata.94313.v1/t196
#: name: AntiXi+ <mT>-m0, Au+Au 19.6 GeV
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig14_xibar_auau19.yaml
#: keyword reactions: Au+Au
#: keyword observables: AntiXi+ <mT>-m0
#: keyword cmenergies: 19.6
#: particles,AntiXi+
<Npart>,<mT>-m0 [GeV^2/c^2],stat +,stat -,sys +,sys -
19.9,0.2402,0.0043,-0.0043,0.0052,-0.0052
57.7,0.2834,0.0021,-0.0021,0.0055,-0.0055
108.0,0.3204,0.0022,-0.0022,0.0068,-0.0068
158.1,0.3508,0.0019,-0.0019,0.0125,-0.0125
224.9,0.3737,0.0018,-0.0018,0.0163,-0.0163
289.2,0.387,0.0027,-0.0027,0.021,-0.021
338.0,0.3994,0.0027,-0.0027,0.0169,-0.0169

