#: table_doi: 10.17182/hepdata.94313.v1/t14
#: name: K0S pT spectrum, Au+Au 11.5 GeV, 0-5%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig5_k0s_auau11_cent6.yaml
#: keyword reactions: Au+Au
#: keyword observables: K0S pT spectrum
#: keyword cmenergies: 11.5
#: Centrality,,,0-5%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.3004,0.2,0.4,9.915,0.25,-0.25,0.338,-0.338
0.4966,0.4,0.6,6.241,0.095,-0.095,0.209,-0.209
0.6949,0.6,0.8,3.273,0.04,-0.04,0.111,-0.111
0.8941,0.8,1.0,1.6057,0.0187,-0.0187,0.047,-0.047
1.0937,1.0,1.2,0.7282,0.0089,-0.0089,0.0227,-0.0227
1.2934,1.2,1.4,0.3121,0.0042,-0.0042,0.0108,-0.0108
1.4933,1.4,1.6,0.13793,0.00221,-0.00221,0.00456,-0.00456
1.6933,1.6,1.8,0.06287,0.00122,-0.00122,0.00238,-0.00238
1.8932,1.8,2.0,0.02663,0.00064,-0.00064,0.00132,-0.00132
2.1347,2.0,2.3,0.010294,0.000271,-0.000271,0.000428,-0.000428
2.4346,2.3,2.6,0.002633,0.000124,-0.000124,0.000121,-0.000121
2.7727,2.6,3.0,0.0006468,4.64e-05,-4.64e-05,3.16e-05,-3.16e-05
3.1726,3.0,3.4,0.0001397,2.01e-05,-2.01e-05,7.6e-06,-7.6e-06
3.6075,3.4,3.9,3.494e-05,7.1e-06,-7.1e-06,2.18e-06,-2.18e-06

