#: table_doi: 10.17182/hepdata.94313.v1/t195
#: name: Xi- <mT>-m0, Au+Au 19.6 GeV
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig14_xi_auau19.yaml
#: keyword reactions: Au+Au
#: keyword observables: Xi- <mT>-m0
#: keyword cmenergies: 19.6
#: particles,Xi-
<Npart>,<mT>-m0 [GeV^2/c^2],stat +,stat -,sys +,sys -
19.9,0.2505,0.0031,-0.0031,0.0058,-0.0058
57.7,0.2898,0.0017,-0.0017,0.0059,-0.0059
108.0,0.3092,0.0017,-0.0017,0.0054,-0.0054
158.1,0.3249,0.0014,-0.0014,0.0048,-0.0048
224.9,0.3456,0.0013,-0.0013,0.0066,-0.0066
289.2,0.3496,0.0018,-0.0018,0.0114,-0.0114
338.0,0.3523,0.0018,-0.0018,0.0118,-0.0118

