#: table_doi: 10.17182/hepdata.94313.v1/t335
#: name: AntiLambda/K0S, Au+Au 39 GeV, 30-40%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig29_auau39_cent2.yaml
#: keyword reactions: Au+Au
#: keyword observables: AntiLambda/K0S
#: keyword cmenergies: 39
#: Centrality,30-40%
pT [GeV/c],AntiLambda/K0S,stat +,stat -
0.5011,0.1268,0.0022,-0.0022
0.6992,0.1749,0.002,-0.002
0.8979,0.2507,0.0026,-0.0026
1.097,0.3365,0.0034,-0.0034
1.2963,0.4474,0.0047,-0.0047
1.4958,0.5285,0.0059,-0.0059
1.6954,0.59,0.0071,-0.0071
1.895,0.6375,0.0083,-0.0083
2.1373,0.7031,0.0082,-0.0082
2.4373,0.7018,0.0099,-0.0099
2.7777,0.681,0.011,-0.011
3.178,0.624,0.015,-0.015
3.6168,0.544,0.02,-0.02
4.1178,0.512,0.037,-0.037
4.6557,0.299,0.044,-0.044
5.3873,0.23,0.11,-0.11

