#: table_doi: 10.17182/hepdata.94313.v1/t33
#: name: K0S pT spectrum, Au+Au 39 GeV, 10-20%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig5_k0s_auau39_cent4.yaml
#: keyword reactions: Au+Au
#: keyword observables: K0S pT spectrum
#: keyword cmenergies: 39
#: Centrality,,,10-20%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.3005,0.2,0.4,9.183,0.067,-0.067,0.401,-0.401
0.4967,0.4,0.6,5.822,0.026,-0.026,0.261,-0.261
0.6952,0.6,0.8,3.207,0.011,-0.011,0.131,-0.131
0.8945,0.8,1.0,1.617,0.0055,-0.0055,0.0556,-0.0556
1.0941,1.0,1.2,0.7897,0.0029,-0.0029,0.0315,-0.0315
1.294,1.2,1.4,0.3754,0.0015,-0.0015,0.0158,-0.0158
1.4939,1.4,1.6,0.18022,0.00081,-0.00081,0.00759,-0.00759
1.694,1.6,1.8,0.08708,0.00044,-0.00044,0.00372,-0.00372
1.894,1.8,2.0,0.04194,0.00024,-0.00024,0.00164,-0.00164
2.1366,2.0,2.3,0.017804,9.8e-05,-9.8e-05,0.000697,-0.000697
2.4369,2.3,2.6,0.00632,4.5e-05,-4.5e-05,0.000274,-0.000274
2.7778,2.6,3.0,0.002025,1.7e-05,-1.7e-05,0.000101,-0.000101
3.1788,3.0,3.4,0.0005758,6.9e-06,-6.9e-06,3.08e-05,-3.08e-05
3.6186,3.4,3.9,0.00015372,2.76e-06,-2.76e-06,8.84e-06,-8.84e-06
4.1203,3.9,4.4,3.682e-05,1.22e-06,-1.22e-06,2.09e-06,-2.09e-06
4.6598,4.4,5.0,8.5e-06,5.13e-07,-5.13e-07,5.83e-07,-5.83e-07
5.3993,5.0,6.0,1.367e-06,1.58e-07,-1.58e-07,1.13e-07,-1.13e-07

