#: table_doi: 10.17182/hepdata.94313.v1/t103
#: name: AntiLambda pT spectrum, Au+Au 39 GeV, 10-20%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig7_lambdabar_auau39_cent4.yaml
#: keyword reactions: Au+Au
#: keyword observables: AntiLambda pT spectrum
#: keyword cmenergies: 39
#: Centrality,,,10-20%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.5018,0.4,0.6,0.5922,0.0074,-0.0074,0.0422,-0.0422
0.7001,0.6,0.8,0.4614,0.0037,-0.0037,0.0312,-0.0312
0.8988,0.8,1.0,0.3463,0.0024,-0.0024,0.0239,-0.0239
1.0978,1.0,1.2,0.2409,0.0016,-0.0016,0.0171,-0.0171
1.297,1.2,1.4,0.15329,0.00101,-0.00101,0.00906,-0.00906
1.4963,1.4,1.6,0.09243,0.00063,-0.00063,0.0061,-0.0061
1.6958,1.6,1.8,0.05167,0.00036,-0.00036,0.00342,-0.00342
1.8954,1.8,2.0,0.02864,0.00022,-0.00022,0.00174,-0.00174
2.1377,2.0,2.3,0.013429,8.9e-05,-8.9e-05,0.000852,-0.000852
2.4375,2.3,2.6,0.005089,4e-05,-4e-05,0.000355,-0.000355
2.778,2.6,3.0,0.001609,1.4e-05,-1.4e-05,0.000102,-0.000102
3.1781,3.0,3.4,0.0004329,6.3e-06,-6.3e-06,2.81e-05,-2.81e-05
3.6166,3.4,3.9,9.641e-05,2.19e-06,-2.19e-06,6.56e-06,-6.56e-06
4.1174,3.9,4.4,2e-05,9e-07,-9e-07,1.41e-06,-1.41e-06
4.6547,4.4,5.0,3.297e-06,3.47e-07,-3.47e-07,2.54e-07,-2.54e-07
5.3837,5.0,6.0,6.171e-07,9.35e-08,-9.35e-08,5.39e-08,-5.39e-08

