#: table_doi: 10.17182/hepdata.94313.v1/t327
#: name: AntiLambda/K0S, Au+Au 27 GeV, 40-60%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig29_auau27_cent1.yaml
#: keyword reactions: Au+Au
#: keyword observables: AntiLambda/K0S
#: keyword cmenergies: 27
#: Centrality,40-60%
pT [GeV/c],AntiLambda/K0S,stat +,stat -
0.5002,0.1249,0.0025,-0.0025
0.6982,0.1656,0.0024,-0.0024
0.897,0.2407,0.0031,-0.0031
1.0962,0.3153,0.0041,-0.0041
1.2956,0.3786,0.0052,-0.0052
1.4951,0.4523,0.0068,-0.0068
1.6947,0.4898,0.0081,-0.0081
1.8945,0.5198,0.0095,-0.0095
2.1366,0.5469,0.0094,-0.0094
2.4365,0.559,0.012,-0.012
2.7765,0.533,0.014,-0.014
3.1769,0.495,0.022,-0.022
3.6151,0.474,0.035,-0.035
4.1163,0.347,0.057,-0.057
4.6537,0.12,0.11,-0.11

