#: table_doi: 10.17182/hepdata.94313.v1/t47
#: name: Lambda pT spectrum, Au+Au 11.5 GeV, 10-20%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig6_lambda_auau11_cent4.yaml
#: keyword reactions: Au+Au
#: keyword observables: Lambda pT spectrum
#: keyword cmenergies: 11.5
#: Centrality,,,10-20%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.5014,0.4,0.6,2.378,0.048,-0.048,0.149,-0.149
0.6994,0.6,0.8,1.7148,0.0226,-0.0226,0.0783,-0.0783
0.8979,0.8,1.0,1.1805,0.0135,-0.0135,0.0404,-0.0404
1.0969,1.0,1.2,0.7437,0.0083,-0.0083,0.0368,-0.0368
1.296,1.2,1.4,0.4209,0.0047,-0.0047,0.0172,-0.0172
1.4954,1.4,1.6,0.23639,0.00278,-0.00278,0.00871,-0.00871
1.6949,1.6,1.8,0.12087,0.00151,-0.00151,0.00412,-0.00412
1.8945,1.8,2.0,0.06244,0.00085,-0.00085,0.00192,-0.00192
2.1368,2.0,2.3,0.02568,0.00031,-0.00031,0.00127,-0.00127
2.4364,2.3,2.6,0.008425,0.000128,-0.000128,0.000354,-0.000354
2.7753,2.6,3.0,0.002257,4.3e-05,-4.3e-05,0.000103,-0.000103
3.1748,3.0,3.4,0.0005069,1.71e-05,-1.71e-05,2.36e-05,-2.36e-05
3.6105,3.4,3.9,9.55e-05,5.96e-06,-5.96e-06,4.6e-06,-4.6e-06
4.11,3.9,4.4,1.349e-05,1.96e-06,-1.96e-06,8.4e-07,-8.4e-07

