#: table_doi: 10.17182/hepdata.94313.v1/t274
#: name: AntiLambda/Lambda, Au+Au 7.7 GeV, 10-20%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig21_auau7_cent4.yaml
#: keyword reactions: Au+Au
#: keyword observables: AntiLambda/Lambda
#: keyword cmenergies: 7.7
#: Centrality,10-20%
pT [GeV/c],AntiLambda/Lambda,stat +,stat -
0.502,0.0121,0.0012,-0.0012
0.7004,0.0131,0.0009,-0.0009
0.8988,0.0153,0.0009,-0.0009
1.0976,0.0162,0.0009,-0.0009
1.2964,0.0186,0.0011,-0.0011
1.4955,0.0171,0.0012,-0.0012
1.6943,0.0196,0.0014,-0.0014
1.9367,0.0179,0.0015,-0.0015
2.2753,0.0144,0.002,-0.002
2.7104,0.0127,0.0039,-0.0039

