#: table_doi: 10.17182/hepdata.94313.v1/t189
#: name: Lambda <mT>-m0, Au+Au 39 GeV
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig13_lambda_auau39.yaml
#: keyword reactions: Au+Au
#: keyword observables: Lambda <mT>-m0
#: keyword cmenergies: 39
#: particles,Lambda
<Npart>,<mT>-m0 [GeV^2/c^2],stat +,stat -,sys +,sys -
20.0,0.2721,0.001,-0.001,0.0062,-0.0062
59.2,0.3208,0.0007,-0.0007,0.0035,-0.0035
111.4,0.3529,0.0008,-0.0008,0.0032,-0.0032
162.4,0.3751,0.0007,-0.0007,0.0054,-0.0054
229.8,0.3888,0.0006,-0.0006,0.0057,-0.0057
293.9,0.3956,0.0008,-0.0008,0.0056,-0.0056
341.7,0.3983,0.0008,-0.0008,0.0053,-0.0053

