#: table_doi: 10.17182/hepdata.94313.v1/t296
#: name: Lambda+AntiLambda Rcp(0-5%/40-60%), Au+Au 27 GeV
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig28_lambda_auau27.yaml
#: keyword reactions: Au+Au
#: keyword observables: Rcp
#: keyword cmenergies: 27
#: particles,Lambda+AntiLambda
pT [GeV/c],Rcp,stat +,stat -,sys +,sys -
0.5018,0.551,0.01,-0.01,0.025,-0.025
0.7002,0.657,0.007,-0.007,0.034,-0.034
0.8988,0.768,0.008,-0.008,0.028,-0.028
1.0978,0.892,0.008,-0.008,0.033,-0.033
1.2969,1.002,0.01,-0.01,0.045,-0.045
1.4962,1.093,0.011,-0.011,0.036,-0.036
1.6957,1.193,0.013,-0.013,0.051,-0.051
1.8952,1.246,0.015,-0.015,0.057,-0.057
2.1371,1.31,0.014,-0.014,0.058,-0.058
2.437,1.348,0.016,-0.016,0.056,-0.056
2.7769,1.313,0.018,-0.018,0.054,-0.054
3.1772,1.293,0.028,-0.028,0.054,-0.054
3.6153,1.129,0.041,-0.041,0.047,-0.047
4.1161,1.093,0.085,-0.085,0.045,-0.045
4.6529,1.17,0.23,-0.23,0.05,-0.05
5.3799,1.42,0.4,-0.4,0.06,-0.06

