#: table_doi: 10.17182/hepdata.94313.v1/t171
#: name: AntiXi+ pT spectrum, Au+Au 39 GeV, 30-40%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig9_xibar_auau39_cent2.yaml
#: keyword reactions: Au+Au
#: keyword observables: AntiXi+ pT spectrum
#: keyword cmenergies: 39
#: Centrality,,,30-40%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.7958,0.6,1.0,0.03303,0.00059,-0.00059,0.00277,-0.00277
1.144,1.0,1.3,0.016789,0.000245,-0.000245,0.000655,-0.000655
1.442,1.3,1.6,0.008499,0.000118,-0.000118,0.000384,-0.000384
1.7406,1.6,1.9,0.003919,5.6e-05,-5.6e-05,0.000206,-0.000206
2.0397,1.9,2.2,0.0016699,2.55e-05,-2.55e-05,9.07e-05,-9.07e-05
2.3796,2.2,2.6,0.000569,8.9e-06,-8.9e-06,3.17e-05,-3.17e-05
2.854,2.6,3.2,0.00013101,2.71e-06,-2.71e-06,6.68e-06,-6.68e-06
3.52,3.2,4.0,1.5544e-05,6.78e-07,-6.78e-07,8e-07,-8e-07
4.3807,4.0,5.0,1.138e-06,1.36e-07,-1.36e-07,6.5e-08,-6.5e-08

