#: table_doi: 10.17182/hepdata.94313.v1/t131
#: name: Xi- pT spectrum, Au+Au 27 GeV, 10-20%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig8_xi_auau27_cent4.yaml
#: keyword reactions: Au+Au
#: keyword observables: Xi- pT spectrum
#: keyword cmenergies: 27
#: Centrality,,,10-20%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.7987,0.6,1.0,0.14053,0.00217,-0.00217,0.0095,-0.0095
1.1452,1.0,1.3,0.07827,0.00091,-0.00091,0.004,-0.004
1.4427,1.3,1.6,0.03986,0.00042,-0.00042,0.002,-0.002
1.741,1.6,1.9,0.018101,0.000195,-0.000195,0.000918,-0.000918
2.0398,1.9,2.2,0.007536,9e-05,-9e-05,0.000388,-0.000388
2.3796,2.2,2.6,0.002664,3.5e-05,-3.5e-05,0.000143,-0.000143
2.8532,2.6,3.2,0.0005813,1.11e-05,-1.11e-05,3.02e-05,-3.02e-05
3.5172,3.2,4.0,6.186e-05,2.7e-06,-2.7e-06,3.29e-06,-3.29e-06
4.374,4.0,5.0,3.691e-06,5.52e-07,-5.52e-07,2.14e-07,-2.14e-07

