#: table_doi: 10.17182/hepdata.94313.v1/t241
#: name: Lambda dN/dy, Au+Au 27 GeV
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig17_lambda_auau27.yaml
#: keyword reactions: Au+Au
#: keyword observables: Lambda dN/dy
#: keyword cmenergies: 27
#: particles,Lambda
<Npart>,dN/dy,stat +,stat -,sys +,sys -
20.5,0.35,0.002,-0.002,0.019,-0.019
61.2,1.449,0.006,-0.006,0.05,-0.05
114.0,3.13,0.01,-0.01,0.12,-0.12
165.5,4.87,0.01,-0.01,0.16,-0.16
233.6,7.26,0.02,-0.02,0.27,-0.27
299.3,9.71,0.03,-0.03,0.42,-0.42
343.3,11.67,0.04,-0.04,0.51,-0.51

