#: table_doi: 10.17182/hepdata.94313.v1/t19
#: name: K0S pT spectrum, Au+Au 19.6 GeV, 10-20%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig5_k0s_auau19_cent4.yaml
#: keyword reactions: Au+Au
#: keyword observables: K0S pT spectrum
#: keyword cmenergies: 19.6
#: Centrality,,,10-20%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.3001,0.2,0.4,7.854,0.093,-0.093,0.313,-0.313
0.4963,0.4,0.6,4.968,0.036,-0.036,0.12,-0.12
0.6947,0.6,0.8,2.6212,0.0153,-0.0153,0.0511,-0.0511
0.894,0.8,1.0,1.2716,0.0071,-0.0071,0.0288,-0.0288
1.0937,1.0,1.2,0.5978,0.0035,-0.0035,0.0151,-0.0151
1.2935,1.2,1.4,0.27084,0.00176,-0.00176,0.00611,-0.00611
1.4935,1.4,1.6,0.12319,0.00092,-0.00092,0.00322,-0.00322
1.6935,1.6,1.8,0.05691,0.00049,-0.00049,0.0023,-0.0023
1.8936,1.8,2.0,0.025886,0.000261,-0.000261,0.000964,-0.000964
2.1358,2.0,2.3,0.010344,0.000107,-0.000107,0.000397,-0.000397
2.4359,2.3,2.6,0.003229,4.7e-05,-4.7e-05,0.000125,-0.000125
2.7756,2.6,3.0,0.0009718,1.81e-05,-1.81e-05,4.29e-05,-4.29e-05
3.1763,3.0,3.4,0.00022151,7.7e-06,-7.7e-06,9.72e-06,-9.72e-06
3.6143,3.4,3.9,4.716e-05,2.86e-06,-2.86e-06,2.47e-06,-2.47e-06
4.1155,3.9,4.4,8.47e-06,1.17e-06,-1.17e-06,5.1e-07,-5.1e-07

