#: table_doi: 10.17182/hepdata.94313.v1/t259
#: name: AntiLambda/Lambda, Au+Au 11.5 GeV
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig20_lambarlam_auau11.yaml
#: keyword reactions: Au+Au
#: keyword observables: AntiLambda/Lambda
#: keyword cmenergies: 11.5
#: particles,AntiLambda/Lambda
<Npart>,Bbar/B,stat +,stat -,sys +,sys -
20.1,0.1063,0.0024,-0.0024,0.0021,-0.0021
58.5,0.0835,0.0013,-0.0013,0.002,-0.002
110.0,0.0672,0.001,-0.001,0.0018,-0.0018
159.6,0.0593,0.0007,-0.0007,0.0018,-0.0018
226.0,0.0518,0.0006,-0.0006,0.0019,-0.0019
290.6,0.0455,0.0007,-0.0007,0.0018,-0.0018
338.2,0.0465,0.0007,-0.0007,0.0017,-0.0017

