#: table_doi: 10.17182/hepdata.94313.v1/t1
#: name: K0S pT spectrum, Au+Au 7.7 GeV, 60-80%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig5_k0s_auau7_cent0.yaml
#: keyword reactions: Au+Au
#: keyword observables: K0S pT spectrum
#: keyword cmenergies: 7.7
#: Centrality,,,60-80%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.2995,0.2,0.4,0.279,0.0123,-0.0123,0.0077,-0.0077
0.4953,0.4,0.6,0.13746,0.00374,-0.00374,0.00481,-0.00481
0.6935,0.6,0.8,0.05962,0.00138,-0.00138,0.00188,-0.00188
0.8925,0.8,1.0,0.023771,0.000567,-0.000567,0.000786,-0.000786
1.092,1.0,1.2,0.008712,0.000243,-0.000243,0.000324,-0.000324
1.2917,1.2,1.4,0.003215,0.000121,-0.000121,8.8e-05,-8.8e-05
1.4915,1.4,1.6,0.001196,6.12e-05,-6.12e-05,4.38e-05,-4.38e-05
1.6914,1.6,1.8,0.0004575,3.24e-05,-3.24e-05,1.76e-05,-1.76e-05
1.8913,1.8,2.0,0.0001554,1.78e-05,-1.78e-05,8.3e-06,-8.3e-06
2.1305,2.0,2.3,4.642e-05,7.52e-06,-7.52e-06,2.07e-06,-2.07e-06
2.4973,2.3,2.8,7.06e-06,2.1e-06,-2.1e-06,3.4e-07,-3.4e-07

