#: table_doi: 10.17182/hepdata.94313.v1/t52
#: name: Lambda pT spectrum, Au+Au 19.6 GeV, 30-40%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig6_lambda_auau19_cent2.yaml
#: keyword reactions: Au+Au
#: keyword observables: Lambda pT spectrum
#: keyword cmenergies: 19.6
#: Centrality,,,30-40%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.5006,0.4,0.6,0.8984,0.0146,-0.0146,0.0445,-0.0445
0.6988,0.6,0.8,0.6423,0.0069,-0.0069,0.0253,-0.0253
0.8975,0.8,1.0,0.4277,0.0041,-0.0041,0.0146,-0.0146
1.0966,1.0,1.2,0.25723,0.00237,-0.00237,0.00802,-0.00802
1.2959,1.2,1.4,0.15224,0.00145,-0.00145,0.00507,-0.00507
1.4954,1.4,1.6,0.08277,0.00083,-0.00083,0.00229,-0.00229
1.695,1.6,1.8,0.0447,0.00049,-0.00049,0.00115,-0.00115
1.8947,1.8,2.0,0.022478,0.000262,-0.000262,0.00057,-0.00057
2.1367,2.0,2.3,0.009668,0.000102,-0.000102,0.000513,-0.000513
2.4366,2.3,2.6,0.003471,4.4e-05,-4.4e-05,0.00013,-0.00013
2.7766,2.6,3.0,0.000998,1.52e-05,-1.52e-05,3.71e-05,-3.71e-05
3.177,3.0,3.4,0.00025315,6.25e-06,-6.25e-06,9.12e-06,-9.12e-06
3.6153,3.4,3.9,5.458e-05,2.33e-06,-2.33e-06,2.24e-06,-2.24e-06
4.1164,3.9,4.4,9.563e-06,9.47e-07,-9.47e-07,4.53e-07,-4.53e-07
4.6539,4.4,5.0,1.191e-06,3.63e-07,-3.63e-07,6.8e-08,-6.8e-08

