#: table_doi: 10.17182/hepdata.94313.v1/t339
#: name: AntiLambda/K0S, Au+Au 39 GeV, 0-5%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig29_auau39_cent6.yaml
#: keyword reactions: Au+Au
#: keyword observables: AntiLambda/K0S
#: keyword cmenergies: 39
#: Centrality,0-5%
pT [GeV/c],AntiLambda/K0S,stat +,stat -
0.5018,0.0883,0.0016,-0.0016
0.7004,0.1256,0.0015,-0.0015
0.8993,0.193,0.002,-0.002
1.0983,0.2846,0.0028,-0.0028
1.2975,0.4023,0.004,-0.004
1.4967,0.5186,0.0055,-0.0055
1.6961,0.6244,0.007,-0.007
1.8956,0.7135,0.0089,-0.0089
2.1376,0.7934,0.0091,-0.0091
2.4374,0.868,0.013,-0.013
2.7777,0.87,0.016,-0.016
3.1779,0.885,0.025,-0.025
3.6164,0.675,0.03,-0.03
4.1171,0.559,0.051,-0.051
4.6543,0.392,0.084,-0.084
5.3829,0.24,0.11,-0.11

