#: table_doi: 10.17182/hepdata.94313.v1/t255
#: name: AntiOmega+ dN/dy, Au+Au 39 GeV
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig17_omegabar_auau39.yaml
#: keyword reactions: Au+Au
#: keyword observables: AntiOmega+ dN/dy
#: keyword cmenergies: 39
#: particles,AntiOmega+
<Npart>,dN/dy,stat +,stat -,sys +,sys -
20.0,0.00175,0.00017,-0.00017,0.0001,-0.0001
59.2,0.01013,0.00038,-0.00038,0.00051,-0.00051
137.0,0.0427,0.0009,-0.0009,0.0024,-0.0024
229.8,0.0875,0.0025,-0.0025,0.0061,-0.0061
317.3,0.139,0.004,-0.004,0.012,-0.012

