#: table_doi: 10.17182/hepdata.94313.v1/t290
#: name: K0S Rcp(0-5%/40-60%), Au+Au 19.6 GeV
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig28_k0s_auau19.yaml
#: keyword reactions: Au+Au
#: keyword observables: Rcp
#: keyword cmenergies: 19.6
#: particles,K0S
pT [GeV/c],Rcp,stat +,stat -,sys +,sys -
0.3002,0.637,0.014,-0.014,0.032,-0.032
0.4963,0.734,0.01,-0.01,0.021,-0.021
0.6947,0.82,0.009,-0.009,0.025,-0.025
0.894,0.885,0.01,-0.01,0.018,-0.018
1.0937,0.956,0.011,-0.011,0.03,-0.03
1.2935,0.984,0.012,-0.012,0.02,-0.02
1.4935,1.031,0.015,-0.015,0.027,-0.027
1.6936,0.989,0.017,-0.017,0.016,-0.016
1.8936,1.032,0.02,-0.02,0.035,-0.035
2.1359,1.063,0.021,-0.021,0.048,-0.048
2.4356,1.032,0.029,-0.029,0.044,-0.044
2.7752,1.0,0.039,-0.039,0.031,-0.031
3.1757,1.013,0.075,-0.075,0.031,-0.031
3.6132,0.93,0.12,-0.12,0.03,-0.03
4.1142,0.63,0.18,-0.18,0.02,-0.02

