2.76 TeV: chisq sums over 2 mesons(D0, Ds).
scan: gamma0: 1.0-3.0(+0.1), q0: 7.0-15.0(+0.5).

Parameters: 1.6, 11.5 | Error: 2.72398578633009
Parameters: 1.6, 12.0 | Error: 2.7967374726482
Parameters: 1.6, 12.5 | Error: 2.87158495663114
Parameters: 1.6, 13.0 | Error: 2.94557629153846
Parameters: 1.6, 13.5 | Error: 3.01701745040127
Parameters: 1.6, 14.0 | Error: 3.0849822590902196
Parameters: 1.6, 14.5 | Error: 3.14910040575531
Parameters: 1.6, 15.0 | Error: 3.2090859214850402
Parameters: 1.7, 7.0 | Error: 4.810783867370899
Parameters: 1.7, 7.5 | Error: 3.630798593139459
Parameters: 1.7, 8.0 | Error: 2.998214074955179
Parameters: 1.7, 8.5 | Error: 2.6790462475845
Parameters: 1.7, 9.0 | Error: 2.5406868825431568
Parameters: 1.7, 9.5 | Error: 2.50673949361677
Parameters: 1.7, 10.0 | Error: 2.53242481478253
Parameters: 1.7, 10.5 | Error: 2.59112516878956
Parameters: 1.7, 11.0 | Error: 2.66686180452953
Parameters: 1.7, 11.5 | Error: 2.7498354813624903
Parameters: 1.7, 12.0 | Error: 2.83475192979319
Parameters: 1.7, 12.5 | Error: 2.9180499770371497
Parameters: 1.7, 13.0 | Error: 2.99800637811674
Parameters: 1.7, 13.5 | Error: 3.0735082810422103
Parameters: 1.7, 14.0 | Error: 3.14405719046869
Parameters: 1.7, 14.5 | Error: 3.2098873898227396
Parameters: 1.7, 15.0 | Error: 3.2708213418805503
Parameters: 1.8, 7.0 | Error: 4.031546166411262
Parameters: 1.8, 7.5 | Error: 3.1449424793774288
Parameters: 1.8, 8.0 | Error: 2.699645110012848
Parameters: 1.8, 8.5 | Error: 2.502061457952209
Parameters: 1.8, 9.0 | Error: 2.44419619224094
Parameters: 1.8, 9.5 | Error: 2.46422902341451
Parameters: 1.8, 10.0 | Error: 2.5263623638554096
Parameters: 1.8, 10.5 | Error: 2.61003720792182
Parameters: 1.8, 11.0 | Error: 2.70264573155364
Parameters: 1.8, 11.5 | Error: 2.79736865584202
Parameters: 1.8, 12.0 | Error: 2.88991522257496
Parameters: 1.8, 12.5 | Error: 2.97837904302651
Parameters: 1.8, 13.0 | Error: 3.06141365781076
