          %pt            TT            TS            SS            SS2j            Tot
       17.612    6.78357E-26    6.37537E-08    8.09661E-07    8.55796E-08    9.58994E-07
       17.811    3.30641E-26    5.84737E-08    7.48799E-07    7.73815E-08    8.84654E-07
       18.010    1.61131E-26    5.37111E-08    6.92607E-07    7.00343E-08    8.16353E-07
       18.209    7.85107E-27    4.94136E-08    6.40662E-07    6.34379E-08    7.53513E-07
       18.408    3.82479E-27    4.55130E-08    5.92617E-07    5.75065E-08    6.95636E-07
       18.607    1.86302E-27    4.19799E-08    5.48159E-07    5.21763E-08    6.42315E-07
       18.806    9.07317E-28    3.87631E-08    5.06986E-07    4.73739E-08    5.93123E-07
       19.005    4.41812E-28    3.58300E-08    4.68841E-07    4.30467E-08    5.47718E-07
       19.204    2.15106E-28    3.31523E-08    4.33474E-07    3.91409E-08    5.05767E-07
       19.403    1.04714E-28    3.07036E-08    4.00664E-07    3.56126E-08    4.66980E-07
       19.602    5.09685E-29    2.84564E-08    3.70214E-07    3.24234E-08    4.31094E-07
       19.801    2.48050E-29    2.63939E-08    3.41947E-07    2.95361E-08    3.97877E-07
