          %pt            TT            TS            SS            SS2j            Tot
       15.811    7.47431E-28    4.78877E-19    1.06130E-09    1.37402E-07    1.38464E-07
       16.010    3.30472E-28    2.92807E-19    9.80519E-10    1.22791E-07    1.23771E-07
       16.210    1.46045E-28    1.79167E-19    9.06470E-10    1.09870E-07    1.10776E-07
       16.409    6.45111E-29    1.09703E-19    8.38524E-10    9.84283E-08    9.92669E-08
       16.609    2.84830E-29    6.72164E-20    7.76123E-10    8.82831E-08    8.90592E-08
       16.808    1.25703E-29    4.12126E-20    7.18753E-10    7.92753E-08    7.99941E-08
       17.008    5.54529E-30    2.52849E-20    6.65961E-10    7.12670E-08    7.19329E-08
       17.207    2.44525E-30    1.55230E-20    6.17335E-10    6.41381E-08    6.47555E-08
       17.407    1.07783E-30    9.53604E-21    5.72511E-10    5.77844E-08    5.83569E-08
       17.606    4.74913E-31    5.86183E-21    5.31146E-10    5.21144E-08    5.26455E-08
       17.806    2.09178E-31    3.60555E-21    4.92949E-10    4.70486E-08    4.75415E-08
       18.005    9.21002E-32    2.21924E-21    4.57643E-10    4.25173E-08    4.29749E-08
       18.205    4.05374E-32    1.36672E-21    4.24986E-10    3.84595E-08    3.88845E-08
       18.404    1.78363E-32    8.42203E-22    3.94748E-10    3.48215E-08    3.52163E-08
       18.604    7.84538E-33    5.19291E-22    3.66734E-10    3.15564E-08    3.19232E-08
       18.803    3.44973E-33    3.20382E-22    3.40757E-10    2.86227E-08    2.89635E-08
       19.003    1.51643E-33    1.97779E-22    3.16655E-10    2.59841E-08    2.63008E-08
       19.202    6.66398E-34    1.22164E-22    2.94273E-10    2.36084E-08    2.39026E-08
       19.402    2.92765E-34    7.55005E-23    2.73472E-10    2.14670E-08    2.17405E-08
       19.601    1.28583E-34    4.66885E-23    2.54127E-10    1.95351E-08    1.97892E-08
       19.801    5.64585E-35    2.88923E-23    2.36129E-10    1.77904E-08    1.80265E-08
