          %pt            TT            TS            SS            SS2j            Tot
       13.417    3.38433E-19    4.10463E-05    2.57429E-05    5.41331E-06    7.22025E-05
       13.616    1.65233E-19    3.70852E-05    2.34938E-05    4.75679E-06    6.53358E-05
       13.816    8.06460E-20    3.35577E-05    2.14629E-05    4.18705E-06    5.92076E-05
       14.015    3.93493E-20    3.04104E-05    1.96264E-05    3.69153E-06    5.37283E-05
       14.215    1.91939E-20    2.76035E-05    1.79636E-05    3.25979E-06    4.88269E-05
       14.414    9.35986E-21    2.50897E-05    1.64561E-05    2.88303E-06    4.44288E-05
       14.614    4.56308E-21    2.28400E-05    1.50876E-05    2.55362E-06    4.04813E-05
       14.813    2.22400E-21    2.08264E-05    1.38438E-05    2.26519E-06    3.69354E-05
       15.013    1.08368E-21    1.90221E-05    1.27120E-05    2.01212E-06    3.37462E-05
       15.212    5.27918E-22    1.74030E-05    1.16808E-05    1.78981E-06    3.08736E-05
       15.412    2.57116E-22    1.59507E-05    1.07404E-05    1.59417E-06    2.82852E-05
       15.611    1.25198E-22    1.46464E-05    9.88163E-06    1.42179E-06    2.59498E-05
       15.811    6.09496E-23    1.34715E-05    9.09669E-06    1.26961E-06    2.38378E-05
       16.010    2.96657E-23    1.24147E-05    8.37853E-06    1.13515E-06    2.19283E-05
       16.210    1.44362E-23    1.14601E-05    7.72065E-06    1.01610E-06    2.01969E-05
       16.409    7.02372E-24    1.05968E-05    7.11745E-06    9.10612E-07    1.86249E-05
       16.609    3.41665E-24    9.81450E-06    6.56396E-06    8.16952E-07    1.71954E-05
       16.808    1.66171E-24    9.10466E-06    6.05553E-06    7.33751E-07    1.58939E-05
       17.008    8.08047E-25    8.45965E-06    5.58807E-06    6.59702E-07    1.47074E-05
       17.207    3.92866E-25    7.87245E-06    5.15792E-06    5.93692E-07    1.36241E-05
