          %pt            TT            TS            SS            Tot
        6.458    1.64395E-08    9.83405E-06    1.68297E-06    1.15335E-05
        6.472    1.56753E-08    9.68953E-06    1.65960E-06    1.13648E-05
        6.486    1.49464E-08    9.54511E-06    1.63540E-06    1.11955E-05
        6.500    1.42512E-08    9.40897E-06    1.61281E-06    1.10360E-05
        6.514    1.35882E-08    9.27645E-06    1.58939E-06    1.08794E-05
        6.527    1.29559E-08    9.13959E-06    1.56755E-06    1.07201E-05
        6.541    1.23529E-08    9.01217E-06    1.54466E-06    1.05692E-05
        6.555    1.17778E-08    8.88927E-06    1.52374E-06    1.04248E-05
        6.569    1.12294E-08    8.76058E-06    1.50159E-06    1.02734E-05
        6.583    1.07063E-08    8.63257E-06    1.48136E-06    1.01246E-05
        6.597    1.02075E-08    8.51818E-06    1.45989E-06    9.98828E-06
        6.611    9.73185E-09    8.39774E-06    1.44012E-06    9.84759E-06
        6.625    9.27824E-09    8.27555E-06    1.41954E-06    9.70437E-06
        6.639    8.84567E-09    8.16892E-06    1.40041E-06    9.57818E-06
        6.653    8.43317E-09    8.05553E-06    1.38046E-06    9.44443E-06
        6.666    8.03982E-09    7.94076E-06    1.36196E-06    9.31076E-06
        6.680    7.66473E-09    7.83236E-06    1.34244E-06    9.18247E-06
        6.694    7.30706E-09    7.72879E-06    1.32474E-06    9.06084E-06
        6.708    6.96600E-09    7.62066E-06    1.30580E-06    8.93343E-06
        6.722    6.64079E-09    7.51847E-06    1.28868E-06    8.81378E-06
        6.736    6.33069E-09    7.42093E-06    1.27163E-06    8.69889E-06
        6.750    6.03501E-09    7.31801E-06    1.25356E-06    8.57761E-06
        6.764    5.75307E-09    7.21382E-06    1.23724E-06    8.45682E-06
        6.778    5.48425E-09    7.12426E-06    1.21972E-06    8.34947E-06
        6.792    5.22793E-09    7.02860E-06    1.20395E-06    8.23778E-06
        6.805    4.98354E-09    6.93038E-06    1.18696E-06    8.12232E-06
        6.819    4.75052E-09    6.84394E-06    1.17167E-06    8.02037E-06
        6.833    4.52835E-09    6.75460E-06    1.15520E-06    7.91432E-06
        6.847    4.31652E-09    6.66175E-06    1.14021E-06    7.80627E-06
        6.861    4.11456E-09    6.57286E-06    1.12443E-06    7.70141E-06
        6.875    3.92201E-09    6.49128E-06    1.10991E-06    7.60511E-06
        6.889    3.73843E-09    6.40440E-06    1.09461E-06    7.50274E-06
        6.903    3.56341E-09    6.32039E-06    1.08055E-06    7.40450E-06
        6.917    3.39655E-09    6.24129E-06    1.06550E-06    7.31019E-06
        6.931    3.23747E-09    6.16010E-06    1.05206E-06    7.21541E-06
        6.944    3.08580E-09    6.08076E-06    1.03863E-06    7.12248E-06
        6.958    2.94122E-09    6.00327E-06    1.02447E-06    7.03068E-06
        6.972    2.80338E-09    5.92681E-06    1.01144E-06    6.94106E-06
        6.986    2.67197E-09    5.84761E-06    9.97697E-07    6.84798E-06
