          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.650    6.40783E+00    1.01128E-14    3.48115E-16    1.00526E-17    2.45355E-17    2.77004E-19    6.40783E+00
        0.750    5.42525E+00    3.32173E-15    1.30585E-16    3.24290E-18    2.33144E-17    8.97816E-20    5.42525E+00
        0.850    4.42463E+00    1.26539E-15    6.20791E-17    1.19487E-18    2.21197E-17    3.32485E-20    4.42463E+00
        0.950    3.50714E+00    5.47496E-16    3.61469E-17    4.88452E-19    2.09731E-17    1.36641E-20    3.50714E+00
        1.050    2.71878E+00    2.65452E-16    2.44277E-17    2.17087E-19    1.98870E-17    6.10642E-21    2.71878E+00
        1.150    2.07073E+00    1.42559E-16    1.81682E-17    1.03362E-19    1.88675E-17    2.92401E-21    2.07073E+00
        1.250    1.55479E+00    8.37152E-17    1.43120E-17    5.21441E-20    1.79166E-17    1.48368E-21    1.55479E+00
        1.350    1.15382E+00    5.29745E-17    1.16657E-17    2.76350E-20    1.70329E-17    7.90962E-22    1.15382E+00
        1.450    8.47971E-01    3.55854E-17    9.71034E-18    1.52827E-20    1.62136E-17    4.40039E-22    8.47971E-01
        1.550    6.18130E-01    2.50319E-17    8.19451E-18    8.77142E-21    1.54549E-17    2.54089E-22    6.18130E-01
        1.650    4.47474E-01    1.82325E-17    6.98259E-18    5.20172E-21    1.47525E-17    1.51604E-22    4.47474E-01
        1.750    3.22015E-01    1.36324E-17    5.99384E-18    3.17566E-21    1.41020E-17    9.31242E-23    3.22015E-01
        1.850    2.30543E-01    1.03972E-17    5.17586E-18    1.98972E-21    1.34991E-17    5.87085E-23    2.30543E-01
        1.950    1.64318E-01    8.05210E-18    4.49229E-18    1.27611E-21    1.29398E-17    3.78869E-23    1.64318E-01
          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.450    7.58085E+00    1.74943E-13    5.50353E-15    1.76745E-16    2.69138E-17    4.81975E-18    7.58085E+00
        0.550    7.25126E+00    3.72227E-14    1.19964E-15    3.72874E-17    2.57505E-17    1.02045E-18    7.25126E+00
        0.650    6.45816E+00    1.01657E-14    3.49024E-16    1.00789E-17    2.45355E-17    2.77004E-19    6.45816E+00
        0.750    5.46786E+00    3.33910E-15    1.30926E-16    3.25136E-18    2.33144E-17    8.97816E-20    5.46786E+00
        0.850    4.45937E+00    1.27201E-15    6.22411E-17    1.19799E-18    2.21197E-17    3.32485E-20    4.45937E+00
        0.950    3.53468E+00    5.50358E-16    3.62413E-17    4.89728E-19    2.09731E-17    1.36641E-20    3.53468E+00
        1.050    2.74014E+00    2.66840E-16    2.44915E-17    2.17653E-19    1.98870E-17    6.10642E-21    2.74014E+00
        1.150    2.08699E+00    1.43304E-16    1.82157E-17    1.03632E-19    1.88675E-17    2.92401E-21    2.08699E+00
        1.250    1.56700E+00    8.41530E-17    1.43493E-17    5.22803E-20    1.79166E-17    1.48368E-21    1.56700E+00
        1.350    1.16288E+00    5.32515E-17    1.16961E-17    2.77072E-20    1.70329E-17    7.90962E-22    1.16288E+00
        1.450    8.54630E-01    3.57714E-17    9.73569E-18    1.53226E-20    1.62136E-17    4.40039E-22    8.54630E-01
        1.550    6.22984E-01    2.51628E-17    8.21590E-18    8.79433E-21    1.54549E-17    2.54089E-22    6.22984E-01
        1.650    4.50989E-01    1.83278E-17    7.00082E-18    5.21530E-21    1.47525E-17    1.51604E-22    4.50989E-01
        1.750    3.24544E-01    1.37037E-17    6.00949E-18    3.18395E-21    1.41020E-17    9.31242E-23    3.24544E-01
        1.850    2.32354E-01    1.04515E-17    5.18937E-18    1.99492E-21    1.34991E-17    5.87085E-23    2.32354E-01
        1.950    1.65608E-01    8.09420E-18    4.50402E-18    1.27945E-21    1.29398E-17    3.78869E-23    1.65608E-01
          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.450    7.64023E+00    1.75855E-13    5.51786E-15    1.77205E-16    2.69138E-17    4.81975E-18    7.64023E+00
        0.550    7.30806E+00    3.74168E-14    1.20277E-15    3.73845E-17    2.57505E-17    1.02045E-18    7.30806E+00
        0.650    6.50874E+00    1.02187E-14    3.49933E-16    1.01051E-17    2.45355E-17    2.77004E-19    6.50874E+00
        0.750    5.51069E+00    3.35651E-15    1.31267E-16    3.25983E-18    2.33144E-17    8.97816E-20    5.51069E+00
        0.850    4.49430E+00    1.27864E-15    6.24032E-17    1.20111E-18    2.21197E-17    3.32485E-20    4.49430E+00
        0.950    3.56236E+00    5.53228E-16    3.63357E-17    4.91003E-19    2.09731E-17    1.36641E-20    3.56236E+00
        1.050    2.76160E+00    2.68231E-16    2.45553E-17    2.18220E-19    1.98870E-17    6.10642E-21    2.76160E+00
        1.150    2.10334E+00    1.44051E-16    1.82631E-17    1.03902E-19    1.88675E-17    2.92401E-21    2.10334E+00
        1.250    1.57927E+00    8.45918E-17    1.43867E-17    5.24164E-20    1.79166E-17    1.48368E-21    1.57927E+00
        1.350    1.17199E+00    5.35292E-17    1.17266E-17    2.77794E-20    1.70329E-17    7.90962E-22    1.17199E+00
        1.450    8.61324E-01    3.59580E-17    9.76104E-18    1.53625E-20    1.62136E-17    4.40039E-22    8.61324E-01
        1.550    6.27864E-01    2.52940E-17    8.23730E-18    8.81723E-21    1.54549E-17    2.54089E-22    6.27864E-01
        1.650    4.54521E-01    1.84234E-17    7.01905E-18    5.22888E-21    1.47525E-17    1.51604E-22    4.54521E-01
        1.750    3.27086E-01    1.37751E-17    6.02514E-18    3.19224E-21    1.41020E-17    9.31242E-23    3.27086E-01
        1.850    2.34174E-01    1.05061E-17    5.20289E-18    2.00011E-21    1.34991E-17    5.87085E-23    2.34174E-01
        1.950    1.66905E-01    8.13642E-18    4.51575E-18    1.28278E-21    1.29398E-17    3.78869E-23    1.66905E-01
          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.450    7.69992E+00    1.76770E-13    5.53219E-15    1.77666E-16    2.69138E-17    4.81975E-18    7.69992E+00
        0.550    7.36516E+00    3.76114E-14    1.20589E-15    3.74816E-17    2.57505E-17    1.02045E-18    7.36516E+00
        0.650    6.55959E+00    1.02718E-14    3.50842E-16    1.01313E-17    2.45355E-17    2.77004E-19    6.55959E+00
        0.750    5.55374E+00    3.37397E-15    1.31608E-16    3.26830E-18    2.33144E-17    8.97816E-20    5.55374E+00
        0.850    4.52941E+00    1.28529E-15    6.25653E-17    1.20423E-18    2.21197E-17    3.32485E-20    4.52941E+00
        0.950    3.59020E+00    5.56106E-16    3.64301E-17    4.92278E-19    2.09731E-17    1.36641E-20    3.59020E+00
        1.050    2.78317E+00    2.69627E-16    2.46190E-17    2.18787E-19    1.98870E-17    6.10642E-21    2.78317E+00
        1.150    2.11977E+00    1.44801E-16    1.83105E-17    1.04172E-19    1.88675E-17    2.92401E-21    2.11977E+00
        1.250    1.59161E+00    8.50318E-17    1.44241E-17    5.25526E-20    1.79166E-17    1.48368E-21    1.59161E+00
        1.350    1.18114E+00    5.38076E-17    1.17570E-17    2.78515E-20    1.70329E-17    7.90962E-22    1.18114E+00
        1.450    8.68054E-01    3.61450E-17    9.78640E-18    1.54024E-20    1.62136E-17    4.40039E-22    8.68054E-01
        1.550    6.32769E-01    2.54256E-17    8.25869E-18    8.84013E-21    1.54549E-17    2.54089E-22    6.32769E-01
        1.650    4.58072E-01    1.85192E-17    7.03728E-18    5.24246E-21    1.47525E-17    1.51604E-22    4.58072E-01
        1.750    3.29641E-01    1.38468E-17    6.04079E-18    3.20053E-21    1.41020E-17    9.31242E-23    3.29641E-01
        1.850    2.36004E-01    1.05607E-17    5.21640E-18    2.00531E-21    1.34991E-17    5.87085E-23    2.36004E-01
        1.950    1.68209E-01    8.17874E-18    4.52748E-18    1.28611E-21    1.29398E-17    3.78869E-23    1.68209E-01
          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.450    7.75992E+00    1.77687E-13    5.54653E-15    1.78126E-16    2.69138E-17    4.81975E-18    7.75992E+00
        0.550    7.42255E+00    3.78066E-14    1.20902E-15    3.75787E-17    2.57505E-17    1.02045E-18    7.42255E+00
        0.650    6.61071E+00    1.03251E-14    3.51750E-16    1.01576E-17    2.45355E-17    2.77004E-19    6.61071E+00
        0.750    5.59702E+00    3.39148E-15    1.31949E-16    3.27676E-18    2.33144E-17    8.97816E-20    5.59702E+00
        0.850    4.56471E+00    1.29196E-15    6.27274E-17    1.20735E-18    2.21197E-17    3.32485E-20    4.56471E+00
        0.950    3.61817E+00    5.58991E-16    3.65244E-17    4.93554E-19    2.09731E-17    1.36641E-20    3.61817E+00
        1.050    2.80486E+00    2.71025E-16    2.46828E-17    2.19354E-19    1.98870E-17    6.10642E-21    2.80486E+00
        1.150    2.13629E+00    1.45552E-16    1.83580E-17    1.04442E-19    1.88675E-17    2.92401E-21    2.13629E+00
        1.250    1.60401E+00    8.54730E-17    1.44614E-17    5.26887E-20    1.79166E-17    1.48368E-21    1.60401E+00
        1.350    1.19035E+00    5.40868E-17    1.17875E-17    2.79237E-20    1.70329E-17    7.90962E-22    1.19035E+00
        1.450    8.74818E-01    3.63325E-17    9.81175E-18    1.54423E-20    1.62136E-17    4.40039E-22    8.74818E-01
        1.550    6.37700E-01    2.55575E-17    8.28009E-18    8.86303E-21    1.54549E-17    2.54089E-22    6.37700E-01
        1.650    4.61641E-01    1.86153E-17    7.05552E-18    5.25604E-21    1.47525E-17    1.51604E-22    4.61641E-01
        1.750    3.32210E-01    1.39186E-17    6.05644E-18    3.20883E-21    1.41020E-17    9.31242E-23    3.32210E-01
        1.850    2.37842E-01    1.06155E-17    5.22991E-18    2.01051E-21    1.34991E-17    5.87085E-23    2.37842E-01
        1.950    1.69520E-01    8.22117E-18    4.53921E-18    1.28944E-21    1.29398E-17    3.78869E-23    1.69520E-01
