          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.502    1.56261E-01    3.81087E-17    5.53266E-17    9.19688E-19    2.28879E-17    9.14265E-19    1.56261E-01
        0.700    1.65045E-01    1.26772E-17    1.70505E-17    8.40952E-20    2.12578E-17    8.36001E-20    1.65045E-01
        0.899    1.40538E-01    8.56983E-18    1.10058E-17    1.35538E-20    1.95435E-17    1.35005E-20    1.40538E-01
        1.098    1.06588E-01    6.24975E-18    8.15078E-18    3.07322E-21    1.78887E-17    3.07080E-21    1.06588E-01
        1.297    7.53581E-02    4.53519E-18    6.21528E-18    8.76808E-22    1.63654E-17    8.79581E-22    7.53581E-02
        1.496    5.09356E-02    3.26668E-18    4.80007E-18    2.95807E-22    1.50010E-17    2.98084E-22    5.09356E-02
        1.696    3.33889E-02    2.34523E-18    3.74279E-18    1.13260E-22    1.37932E-17    1.14695E-22    3.33889E-02
        1.895    2.14287E-02    1.68497E-18    2.94528E-18    4.79310E-23    1.27303E-17    4.87941E-23    2.14287E-02
        2.138    1.22591E-02    1.13322E-18    2.22856E-18    2.05307E-23    1.15686E-17    2.10650E-23    1.22591E-02
        2.438    6.02963E-03    7.01906E-19    1.60412E-18    7.34581E-24    1.02944E-17    7.60647E-24    6.02963E-03
        2.779    2.64961E-03    4.14874E-19    1.12505E-18    2.59339E-24    9.08414E-18    2.71413E-24    2.64961E-03
        3.179    9.97097E-04    2.29734E-19    7.59510E-19    8.92612E-25    7.95509E-18    9.46478E-25    9.97097E-04
        3.618    3.39574E-04    1.24180E-19    5.06658E-19    2.98515E-25    6.97354E-18    3.19822E-25    3.39574E-04
        4.118    9.93721E-05    6.41444E-20    3.29667E-19    1.05794E-25    6.07019E-18    1.15165E-25    9.93721E-05
        4.656    2.67257E-05    3.30630E-20    2.15047E-19    3.92184E-26    5.28447E-18    4.34235E-26    2.67257E-05
        5.386    4.55445E-06    1.44277E-20    1.25713E-19    1.30425E-26    4.47213E-18    1.49235E-26    4.55445E-06
          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.502    1.62511E-01    3.84908E-17    5.54711E-17    9.19700E-19    2.28879E-17    9.14265E-19    1.62511E-01
        0.700    1.71646E-01    1.29718E-17    1.71594E-17    8.40957E-20    2.12578E-17    8.36001E-20    1.71646E-01
        0.899    1.46159E-01    8.79786E-18    1.10866E-17    1.35539E-20    1.95435E-17    1.35005E-20    1.46159E-01
        1.098    1.10851E-01    6.41873E-18    8.21050E-18    3.07322E-21    1.78887E-17    3.07080E-21    1.10851E-01
        1.297    7.83721E-02    4.65737E-18    6.25970E-18    8.76808E-22    1.63654E-17    8.79581E-22    7.83721E-02
        1.496    5.29728E-02    3.35406E-18    4.83346E-18    2.95807E-22    1.50010E-17    2.98084E-22    5.29728E-02
        1.696    3.47243E-02    2.40752E-18    3.76819E-18    1.13260E-22    1.37932E-17    1.14695E-22    3.47243E-02
        1.895    2.22857E-02    1.72944E-18    2.96484E-18    4.79310E-23    1.27303E-17    4.87941E-23    2.22857E-02
        2.138    1.27494E-02    1.16294E-18    2.24303E-18    2.05307E-23    1.15686E-17    2.10650E-23    1.27494E-02
        2.438    6.27079E-03    7.20218E-19    1.61431E-18    7.34581E-24    1.02944E-17    7.60647E-24    6.27079E-03
        2.779    2.75559E-03    4.25659E-19    1.13205E-18    2.59339E-24    9.08414E-18    2.71413E-24    2.75559E-03
        3.179    1.03698E-03    2.35697E-19    7.64158E-19    8.92612E-25    7.95509E-18    9.46478E-25    1.03698E-03
        3.618    3.53155E-04    1.27406E-19    5.09733E-19    2.98515E-25    6.97354E-18    3.19822E-25    3.53155E-04
        4.118    1.03347E-04    6.58170E-20    3.31666E-19    1.05794E-25    6.07019E-18    1.15165E-25    1.03347E-04
        4.656    2.77946E-05    3.39310E-20    2.16359E-19    3.92184E-26    5.28447E-18    4.34235E-26    2.77946E-05
        5.386    4.73662E-06    1.48110E-20    1.26494E-19    1.30425E-26    4.47213E-18    1.49235E-26    4.73662E-06
