#: table_doi: 10.17182/hepdata.94313.v1/t153
#: name: AntiXi+ pT spectrum, Au+Au 11.5 GeV, 5-10%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig9_xibar_auau11_cent5.yaml
#: keyword reactions: Au+Au
#: keyword observables: AntiXi+ pT spectrum
#: keyword cmenergies: 11.5
#: Centrality,,,5-10%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.8002,0.6,1.0,0.02478,0.00157,-0.00157,0.00164,-0.00164
1.1455,1.0,1.3,0.01207,0.000601,-0.000601,0.000908,-0.000908
1.4423,1.3,1.6,0.00644,0.00033,-0.00033,0.000465,-0.000465
1.74,1.6,1.9,0.002911,0.000165,-0.000165,0.000218,-0.000218
2.0383,1.9,2.2,0.0009898,7.56e-05,-7.56e-05,7.93e-05,-7.93e-05
2.3781,2.2,2.6,0.0002318,3.04e-05,-3.04e-05,1.58e-05,-1.58e-05
2.8494,2.6,3.2,6.738e-05,9.25e-06,-9.25e-06,4.97e-06,-4.97e-06
3.5091,3.2,4.0,2.22e-06,1.94e-06,-1.94e-06,1.7e-07,-1.7e-07

