#: table_doi: 10.17182/hepdata.94313.v1/t237
#: name: Phi dN/dy, Au+Au 19.6 GeV
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig17_phi_auau19.yaml
#: keyword reactions: Au+Au
#: keyword observables: Phi dN/dy
#: keyword cmenergies: 19.6
#: particles,Phi
<Npart>,dN/dy,stat +,stat -,sys +,sys -
19.9,0.0756,0.0012,-0.0012,0.0096,-0.0096
57.7,0.332,0.004,-0.004,0.048,-0.048
108.0,0.76,0.01,-0.01,0.1,-0.1
158.1,1.18,0.02,-0.02,0.16,-0.16
224.9,1.74,0.03,-0.03,0.24,-0.24
313.7,2.57,0.04,-0.04,0.35,-0.35

