#: table_doi: 10.17182/hepdata.94313.v1/t260
#: name: AntiXi+/Xi-, Au+Au 11.5 GeV
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig20_xibarxi_auau11.yaml
#: keyword reactions: Au+Au
#: keyword observables: AntiXi+/Xi-
#: keyword cmenergies: 11.5
#: particles,AntiXi+/Xi-
<Npart>,Bbar/B,stat +,stat -,sys +,sys -
20.1,0.199,0.018,-0.018,0.007,-0.007
58.5,0.182,0.0072,-0.0072,0.0069,-0.0069
110.0,0.1509,0.0052,-0.0052,0.0066,-0.0066
159.6,0.1442,0.0039,-0.0039,0.0056,-0.0056
226.0,0.142,0.0033,-0.0033,0.0052,-0.0052
290.6,0.1407,0.0043,-0.0043,0.005,-0.005
338.2,0.1255,0.0038,-0.0038,0.0046,-0.0046

