#: table_doi: 10.17182/hepdata.94313.v1/t110
#: name: Xi- pT spectrum, Au+Au 7.7 GeV, 10-20%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig8_xi_auau7_cent4.yaml
#: keyword reactions: Au+Au
#: keyword observables: Xi- pT spectrum
#: keyword cmenergies: 7.7
#: Centrality,,,10-20%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.7967,0.6,1.0,0.11157,0.00482,-0.00482,0.00733,-0.00733
1.1433,1.0,1.3,0.05299,0.0017,-0.0017,0.00401,-0.00401
1.4404,1.3,1.6,0.02176,0.00069,-0.00069,0.00156,-0.00156
1.7383,1.6,1.9,0.008436,0.000312,-0.000312,0.000625,-0.000625
2.0368,1.9,2.2,0.002879,0.000146,-0.000146,0.000232,-0.000232
2.3757,2.2,2.6,0.0006542,5.99e-05,-5.99e-05,4.49e-05,-4.49e-05
2.874,2.6,3.3,0.000107,1.64e-05,-1.64e-05,7.9e-06,-7.9e-06

