#: table_doi: 10.17182/hepdata.94313.v1/t32
#: name: K0S pT spectrum, Au+Au 39 GeV, 20-30%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig5_k0s_auau39_cent3.yaml
#: keyword reactions: Au+Au
#: keyword observables: K0S pT spectrum
#: keyword cmenergies: 39
#: Centrality,,,20-30%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.3003,0.2,0.4,6.468,0.055,-0.055,0.228,-0.228
0.4965,0.4,0.6,3.989,0.021,-0.021,0.146,-0.146
0.695,0.6,0.8,2.1406,0.0089,-0.0089,0.0651,-0.0651
0.8943,0.8,1.0,1.0625,0.0042,-0.0042,0.0333,-0.0333
1.094,1.0,1.2,0.5152,0.0022,-0.0022,0.0178,-0.0178
1.2939,1.2,1.4,0.24365,0.00113,-0.00113,0.0083,-0.0083
1.4939,1.4,1.6,0.11696,0.00061,-0.00061,0.00421,-0.00421
1.6939,1.6,1.8,0.05579,0.00033,-0.00033,0.00191,-0.00191
1.894,1.8,2.0,0.027884,0.000183,-0.000183,0.000866,-0.000866
2.1367,2.0,2.3,0.011684,7.2e-05,-7.2e-05,0.000401,-0.000401
2.4371,2.3,2.6,0.00423,3.3e-05,-3.3e-05,0.000187,-0.000187
2.778,2.6,3.0,0.0013743,1.19e-05,-1.19e-05,6.33e-05,-6.33e-05
3.179,3.0,3.4,0.0003869,4.9e-06,-4.9e-06,1.77e-05,-1.77e-05
3.6189,3.4,3.9,0.00010618,1.98e-06,-1.98e-06,5.37e-06,-5.37e-06
4.1205,3.9,4.4,2.537e-05,8.9e-07,-8.9e-07,1.27e-06,-1.27e-06
4.6599,4.4,5.0,6.126e-06,3.72e-07,-3.72e-07,3.55e-07,-3.55e-07
5.3995,5.0,6.0,1.043e-06,1.17e-07,-1.17e-07,7.3e-08,-7.3e-08

