#: table_doi: 10.17182/hepdata.94313.v1/t137
#: name: Xi- pT spectrum, Au+Au 39 GeV, 20-30%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig8_xi_auau39_cent3.yaml
#: keyword reactions: Au+Au
#: keyword observables: Xi- pT spectrum
#: keyword cmenergies: 39
#: Centrality,,,20-30%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.7973,0.6,1.0,0.0905,0.0013,-0.0013,0.00582,-0.00582
1.1447,1.0,1.3,0.04852,0.00056,-0.00056,0.00283,-0.00283
1.4426,1.3,1.6,0.02489,0.00027,-0.00027,0.00141,-0.00141
1.7411,1.6,1.9,0.011862,0.000133,-0.000133,0.000685,-0.000685
2.0401,1.9,2.2,0.005167,6e-05,-6e-05,0.000312,-0.000312
2.3806,2.2,2.6,0.001872,2.2e-05,-2.2e-05,0.000118,-0.000118
2.8557,2.6,3.2,0.0004323,6.3e-06,-6.3e-06,2.58e-05,-2.58e-05
3.5221,3.2,4.0,6.021e-05,1.59e-06,-1.59e-06,3.64e-06,-3.64e-06
4.3824,4.0,5.0,3.83e-06,3.41e-07,-3.41e-07,2.36e-07,-2.36e-07

