#: table_doi: 10.17182/hepdata.94313.v1/t268
#: name: AntiLambda/Lambda, Au+Au 39 GeV
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig20_lambarlam_auau39.yaml
#: keyword reactions: Au+Au
#: keyword observables: AntiLambda/Lambda
#: keyword cmenergies: 39
#: particles,AntiLambda/Lambda
<Npart>,Bbar/B,stat +,stat -,sys +,sys -
20.0,0.5211,0.0045,-0.0045,0.0095,-0.0095
59.2,0.4607,0.0025,-0.0025,0.0082,-0.0082
111.4,0.4208,0.0022,-0.0022,0.0075,-0.0075
162.4,0.3977,0.0017,-0.0017,0.0074,-0.0074
229.8,0.3772,0.0014,-0.0014,0.0071,-0.0071
293.9,0.3637,0.0018,-0.0018,0.0093,-0.0093
341.7,0.3467,0.0017,-0.0017,0.0106,-0.0106

