#: table_doi: 10.17182/hepdata.94313.v1/t116
#: name: Xi- pT spectrum, Au+Au 11.5 GeV, 20-30%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig8_xi_auau11_cent3.yaml
#: keyword reactions: Au+Au
#: keyword observables: Xi- pT spectrum
#: keyword cmenergies: 11.5
#: Centrality,,,20-30%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.7956,0.6,1.0,0.07669,0.00261,-0.00261,0.00523,-0.00523
1.1433,1.0,1.3,0.03878,0.00107,-0.00107,0.00292,-0.00292
1.4408,1.3,1.6,0.01744,0.00045,-0.00045,0.00125,-0.00125
1.7391,1.6,1.9,0.006838,0.00019,-0.00019,0.000508,-0.000508
2.0379,1.9,2.2,0.002444,8.3e-05,-8.3e-05,0.000198,-0.000198
2.3771,2.2,2.6,0.0007513,3.07e-05,-3.07e-05,5.19e-05,-5.19e-05
2.8472,2.6,3.2,0.00011802,9.13e-06,-9.13e-06,8.79e-06,-8.79e-06
3.5055,3.2,4.0,9.12e-06,2.04e-06,-2.04e-06,6.9e-07,-6.9e-07

