#: table_doi: 10.17182/hepdata.94313.v1/t26
#: name: K0S pT spectrum, Au+Au 27 GeV, 10-20%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig5_k0s_auau27_cent4.yaml
#: keyword reactions: Au+Au
#: keyword observables: K0S pT spectrum
#: keyword cmenergies: 27
#: Centrality,,,10-20%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.3003,0.2,0.4,8.623,0.096,-0.096,0.331,-0.331
0.4965,0.4,0.6,5.5578,0.0381,-0.0381,0.0952,-0.0952
0.6949,0.6,0.8,2.9552,0.0162,-0.0162,0.0464,-0.0464
0.8942,0.8,1.0,1.4672,0.0077,-0.0077,0.0278,-0.0278
1.0938,1.0,1.2,0.6969,0.0038,-0.0038,0.0137,-0.0137
1.2937,1.2,1.4,0.32892,0.00201,-0.00201,0.00728,-0.00728
1.4937,1.4,1.6,0.15271,0.00105,-0.00105,0.0042,-0.0042
1.6937,1.6,1.8,0.0707,0.00054,-0.00054,0.00173,-0.00173
1.8938,1.8,2.0,0.033692,0.000295,-0.000295,0.000987,-0.000987
2.1362,2.0,2.3,0.0136,0.000113,-0.000113,0.00061,-0.00061
2.4364,2.3,2.6,0.004557,5.1e-05,-5.1e-05,0.000178,-0.000178
2.7767,2.6,3.0,0.0013909,1.87e-05,-1.87e-05,5.4e-05,-5.4e-05
3.1773,3.0,3.4,0.0003503,7.4e-06,-7.4e-06,1.39e-05,-1.39e-05
3.616,3.4,3.9,8.545e-05,2.9e-06,-2.9e-06,4.24e-06,-4.24e-06
4.1172,3.9,4.4,1.952e-05,1.26e-06,-1.26e-06,1.14e-06,-1.14e-06
4.6549,4.4,5.0,4.186e-06,4.71e-07,-4.71e-07,2.82e-07,-2.82e-07

