#: table_doi: 10.17182/hepdata.94313.v1/t31
#: name: K0S pT spectrum, Au+Au 39 GeV, 30-40%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig5_k0s_auau39_cent2.yaml
#: keyword reactions: Au+Au
#: keyword observables: K0S pT spectrum
#: keyword cmenergies: 39
#: Centrality,,,30-40%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.3001,0.2,0.4,4.381,0.045,-0.045,0.223,-0.223
0.4963,0.4,0.6,2.6397,0.0166,-0.0166,0.0834,-0.0834
0.6948,0.6,0.8,1.3655,0.0069,-0.0069,0.0372,-0.0372
0.8941,0.8,1.0,0.6697,0.0033,-0.0033,0.0191,-0.0191
1.0938,1.0,1.2,0.31755,0.00164,-0.00164,0.00835,-0.00835
1.2938,1.2,1.4,0.14981,0.00085,-0.00085,0.00451,-0.00451
1.4938,1.4,1.6,0.07105,0.00045,-0.00045,0.00196,-0.00196
1.6939,1.6,1.8,0.034733,0.000249,-0.000249,0.00098,-0.00098
1.894,1.8,2.0,0.01676,0.000133,-0.000133,0.000484,-0.000484
2.1367,2.0,2.3,0.00716,5.3e-05,-5.3e-05,0.000236,-0.000236
2.4373,2.3,2.6,0.002612,2.4e-05,-2.4e-05,0.000105,-0.000105
2.7783,2.6,3.0,0.0008523,8.6e-06,-8.6e-06,3.55e-05,-3.55e-05
3.1791,3.0,3.4,0.0002461,3.6e-06,-3.6e-06,1.02e-05,-1.02e-05
3.6189,3.4,3.9,6.905e-05,1.48e-06,-1.48e-06,3.21e-06,-3.21e-06
4.1203,3.9,4.4,1.5012e-05,6.3e-07,-6.3e-07,7.85e-07,-7.85e-07
4.6596,4.4,5.0,3.926e-06,2.87e-07,-2.87e-07,2.11e-07,-2.11e-07
5.3979,5.0,6.0,4.864e-07,8.02e-08,-8.02e-08,3.39e-08,-3.39e-08

