#: table_doi: 10.17182/hepdata.94313.v1/t29
#: name: K0S pT spectrum, Au+Au 39 GeV, 60-80%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig5_k0s_auau39_cent0.yaml
#: keyword reactions: Au+Au
#: keyword observables: K0S pT spectrum
#: keyword cmenergies: 39
#: Centrality,,,60-80%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.2989,0.2,0.4,0.6632,0.0104,-0.0104,0.0313,-0.0313
0.4948,0.4,0.6,0.3503,0.0034,-0.0034,0.0151,-0.0151
0.6933,0.6,0.8,0.16065,0.00125,-0.00125,0.00448,-0.00448
0.8928,0.8,1.0,0.07279,0.00055,-0.00055,0.00248,-0.00248
1.0928,1.0,1.2,0.032048,0.000259,-0.000259,0.000759,-0.000759
1.2929,1.2,1.4,0.014387,0.000128,-0.000128,0.000456,-0.000456
1.4931,1.4,1.6,0.006683,6.8e-05,-6.8e-05,0.000181,-0.000181
1.6934,1.6,1.8,0.0032045,3.7e-05,-3.7e-05,8.59e-05,-8.59e-05
1.8936,1.8,2.0,0.0015584,2.02e-05,-2.02e-05,6.38e-05,-6.38e-05
2.1364,2.0,2.3,0.0006636,8.2e-06,-8.2e-06,1.85e-05,-1.85e-05
2.4372,2.3,2.6,0.00023382,3.75e-06,-3.75e-06,8.55e-06,-8.55e-06
2.7781,2.6,3.0,7.896e-05,1.53e-06,-1.53e-06,4.39e-06,-4.39e-06
3.1789,3.0,3.4,2.3345e-05,6.93e-07,-6.93e-07,9.55e-07,-9.55e-07
3.6186,3.4,3.9,5.855e-06,2.76e-07,-2.76e-07,2.91e-07,-2.91e-07
4.12,3.9,4.4,1.434e-06,1.27e-07,-1.27e-07,6.7e-08,-6.7e-08
4.6591,4.4,5.0,3.327e-07,5.64e-08,-5.64e-08,1.89e-08,-1.89e-08
5.3965,5.0,6.0,4.14e-08,1.31e-08,-1.31e-08,3e-09,-3e-09

