#: table_doi: 10.17182/hepdata.94313.v1/t265
#: name: AntiLambda/Lambda, Au+Au 27 GeV
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig20_lambarlam_auau27.yaml
#: keyword reactions: Au+Au
#: keyword observables: AntiLambda/Lambda
#: keyword cmenergies: 27
#: particles,AntiLambda/Lambda
<Npart>,Bbar/B,stat +,stat -,sys +,sys -
20.5,0.3978,0.0037,-0.0037,0.0073,-0.0073
61.2,0.33,0.002,-0.002,0.0055,-0.0055
114.0,0.2898,0.0017,-0.0017,0.0055,-0.0055
165.5,0.2723,0.0013,-0.0013,0.0054,-0.0054
233.6,0.2512,0.0011,-0.0011,0.0048,-0.0048
299.3,0.2404,0.0013,-0.0013,0.0047,-0.0047
343.3,0.2355,0.0012,-0.0012,0.0045,-0.0045

